"","texto","datahora","medio","Alcance","LIKES","rtas","cliks","comments","compartida","fecha","hora","datahoraposi","POSTID","datadate","FOTO","img_word","pro_spon","TEMA1","TEMA2","N_FOTOS","Grund"
"1","Die #Preise gehen durch die Decke & wir alle spüren es!

🛒 an der #Supermarktkasse 
⛽ an der #Zapfsäule 
🏘️ bei den #Heizkosten

Wie lange will die #Ampel 🚦 noch zuschauen? Jetzt ist die Zeit zu handeln!

Inflationsbedingte staatliche Mehreinnahmen sollten genutzt werden, um Inflationslasten in der Breite effektiv abzumildern und einen wirkungsvollen Schutzschirm aufzuspannen. Liebe Ampel 🚦 lasst #Studenten und #Rentner nicht im Regen ☔️ stehen!

CDU/CSU-Bundestagsfraktion RCDS [Ring Christlich-Demokratischer Studenten]
Junge Union Deutschlands","2022-05-10T08:01:05","Publicación de Facebook",487,7,NA,14,2,0,"2022-05-10","08:01:05",2022-05-10 08:01:05,"reise gehe",2022-05-10,NA,NA,NA,NA,NA,NA,NA
"2","🇪🇺 Braucht die Europäische Union ein Update?

Bürger und Parlamentarier aus allen Mitgliedsländern haben sich ein Jahr lang mit der Frage beschäftigt. Pünktlich zum heutigen #Europatag am 9. Mai legt die Konferenz zur Zukunft Europas #CoFoE 325 Reformideen vor.

Gewünscht: mehr Bürgernähe!

CDU/CSU-Bundestagsfraktion Die Sächsische Union 🇪🇺","2022-05-09T05:20:30","Publicación de Facebook",383,9,NA,2,0,0,"2022-05-09","05:20:30",2022-05-09 05:20:30,"ucht die E",2022-05-09,"symboleworter","worter","gebastelt","Internationalpolitik","Europa",1,NA
"3","Der #Europatag wird alljährlich am 9. Mai für Frieden und Einheit in #Europa 🇪🇺 begangen. Er markiert den Jahrestag der Schuman-Erklärung, in der Robert Schuman seine Idee für eine neue Form der politischen Zusammenarbeit in Europa vorstellte, die einen Krieg zwischen den Nationen Europas undenkbar machen sollte.

Aktuell erreichen uns täglich Greuelnachrichten von #PutinsKrieg gegen die #Ukraine 🇺🇦 und damit wird umso mehr immer wieder deutlich, wie notwendig die #Friedensinitiative 🕊 der Europäische Kommission – Vertretung in Deutschland 🇩🇪 ist.

„Mein Herz schlägt für Europa, weil es als starker Staatenverbund meiner Überzeugung nach unser aller alternativloses, gemeinsames, friedvolles Zuhause der Zukunft ist. Wir sollten von Deutschland aus all unsere Kraft bündeln, um als Kraft der Mitte Europa zusammenzuhalten.“","2022-05-08T21:01:15","Publicación de Facebook",669,9,NA,12,1,1,"2022-05-08","21:01:15",2022-05-08 21:01:15,"uropatag w",2022-05-08,"worter","worter","gebastelt","Internationalpolitik","Europa",1,NA
"4","Das vergangene Jahr war von Krisen geprägt und genauso geht es weiter. In dieser herausfordernden Zeit ist eines besonders wichtig, das Handeln im Zeichen der Menschlichkeit. Unter diesem Motto sind viele Rotkreuzlerinnen und Rotkreuzler auf der ganzen Welt im Einsatz. Ich bin dankbar, persönlich als Vorsitzender vom Roten Kreuz in Dresden einen kleinen Teil dazu beitragen zu können.

Zum Internationalen #Weltrotkreuztag am 8. Mai 2022 wollen wir gemeinsam die kleinen Gesten der Menschlichkeit feiern. Sie machen für das jeweilige Gegenüber einen großen Unterschied! Heinz Rudolf Kunze hat es in seinem Lied wieder einmal auf den Punkt getroffen: 

„Es sind die ganz normalen Menschen
Sie leben gestern heute morgen
Mit ihren ganz normalen Ängsten
Mit ihren Fehlern ihren Sorgen
Sie werden allzu gern belächelt
Sie werden häufig übersehen
Doch ohne sie geht überhaupt nichts
Um diese Menschen muss es gehn.”

International Committee of the Red Cross Deutsches Rotes Kreuz #BeHumanKIND","2022-05-07T23:05:24","Publicación de Facebook",454,9,NA,9,0,0,"2022-05-07","23:05:24",2022-05-07 23:05:24,"rgangene J",2022-05-07,"menschenworter","inzwischen","gebastelt","Gesellschaft","Ephemeriden",1,NA
"5","Mit der bedingungslosen Kapitulation Deutschlands am 8. Mai 1945 endete der Zweite Weltkrieg in Europa. Nun jährt sich dieser Tag zum 77. Mal.
Er ist Mahnung und Verpflichtung zugleich.

CDU/CSU-Bundestagsfraktion","2022-05-07T15:00:09","Publicación de Facebook",600,13,NA,10,2,1,"2022-05-07","15:00:09",2022-05-07 15:00:09,"r bedingun",2022-05-07,"worter","worter","gebastelt","Ephemeriden","Weltkrieges",1,NA
"6","Bürgersprechstunde #Wahlkreis160","2022-05-05T07:22:17","Publicación de Facebook",349,NA,NA,NA,NA,NA,"2022-05-05","07:22:17",2022-05-05 07:22:17,"sprechstun",2022-05-05,NA,NA,NA,NA,NA,NA,NA
"7","Bürgersprechstunde #Wahlkreis160","2022-05-05T07:16:28","Publicación de Facebook",265,NA,NA,NA,NA,NA,"2022-05-05","07:16:28",2022-05-05 07:16:28,"sprechstun",2022-05-05,NA,NA,NA,NA,NA,NA,NA
"8","Bildung, Bildung, Bildung 👩🏻‍🏫🧑‍🏫👨‍🏫
#allgemein, #kulturell und #inklusiv 

Wir bleiben dran.","2022-05-05T05:41:26","Publicación de Facebook",365,2,NA,1,0,0,"2022-05-05","05:41:26",2022-05-05 05:41:26,"g, Bildung",2022-05-05,NA,NA,NA,NA,NA,NA,NA
"9","„Mach einfach mit!“ - Ein einfacher Satz, der für manche Menschen aber so viel mehr bedeutet. In Deutschland leben 81 Millionen Menschen, jeder achte davon hat eine Beeinträchtigung. 
Inklusive Bildung ist also kein Nischenthema. 

Klar, nicht sehen, hören oder gehen können – das sind Arten von Beeinträchtigungen, die wohl allen bekannt sind. Doch es gibt auch viele andere Beeinträchtigungen, die kaum jemand sieht oder kennt. Das spiegelt sich natürlich auch in den Jüngsten unserer Gesellschaft wieder. In Deutschland haben insgesamt etwa 7 Prozent aller Schülerinnen und Schüler Förderbedarf (Quelle: Aktion Mensch). Dazu zählen Kinder mit einer körperlichen Beeinträchtigung genauso wie Kinder mit einer Lernschwäche oder Verhaltensauffälligkeiten.

Als Berichterstatter der CDU/CSU-Bundestagsfraktion zum Thema #InklusiveBildung möchte ich in den kommenden Wochen und Monaten gemeinsam mit euch tiefer in das Thema einsteigen! Für einen ungezwungenen Umgang miteinander brauchen wir den direkten Kontakt und gemeinsame Erlebnisse. Nicht nur unsere Kinder können davon profitieren – Berührungsängste abbauen, Vorurteile verhindern und vor allem für wirklich alle:
Einfach teilhaben.

Am heutigen 5. Mai 2022 feiert der Europäische Protesttag zur Gleichstellung von Menschen mit Behinderung sein 30. Jubiläum. Er wurde 1992 von der Interessenvertretung Selbstbestimmt Leben in Deutschland (ISL) initiiert und findet 2022 zum 30. Mal statt.

#Inklusion #EinfachTeilhaben #InklusionLeben","2022-05-04T21:00:37","Publicación de Facebook",741,21,NA,41,3,2,"2022-05-04","21:00:37",2022-05-04 21:00:37,"einfach mi",2022-05-04,"menschenworter","inzwischen","gebastelt","Bildung","Inklusion",1,NA
"10","Wir müssen vor die Lage kommen, um nicht der Entwicklung weiter hinterher zu hecheln.","2022-05-04T11:59:02","Publicación de Facebook",207,0,NA,6,0,0,"2022-05-04","11:59:02",2022-05-04 11:59:02,"ssen vor d",2022-05-04,NA,NA,NA,NA,NA,NA,NA
"11","Das Bundesministerium für Bildung und Forschung hat die Eckpunkte für die Deutsche Agentur für Transfer und Innovation (#DATI) vorgelegt. Die weitere Ausgestaltung haben wir bei einem Parlamentarischen Frühstück der #Hochschulallianz für den #Mittelstand diskutiert.

Mir stellt sich die Frage welchen Mehrwert diese Agentur haben wird. Viel wird - aus meiner Sicht - davon abhängen, in welcher Rechtsform die Agentur gegründet wird. Mehr Informationen zum Prozess und den unterschiedlichen Meinungen dazu könnt ihr der auf meiner Website veröffentlichten Presseinfo ℹ️ entnehmen.

👉 https://www.lars-rohwer.de/aktuelles/2022/hochschulallianz-fuer-den-mittelstand-hafm-mit-vertreterinnen-aus-politik-und-wirtschaft","2022-05-04T09:00:58","Publicación de Facebook",281,1,NA,1,0,0,"2022-05-04","09:00:58",2022-05-04 09:00:58,"ndesminist",2022-05-04,"Unterseiteworter","inzwischen","gebastelt","Bildung",NA,1,NA
