"","texto","datahora","medio","Alcance","LIKES","rtas","cliks","comments","compartida","fecha","hora","POSTID","URL","TEXTO","FECHA","COMMENTS","FOTO","img_word","pro_spon","TEMA1","TEMA2","N_FOTOS","Grund","...13","datahoraposi"
"1","Die #Preise gehen durch die Decke & wir alle spüren es!

🛒 an der #Supermarktkasse 
⛽ an der #Zapfsäule 
🏘️ bei den #Heizkosten

Wie lange will die #Ampel 🚦 noch zuschauen? Jetzt ist die Zeit zu handeln!

Inflationsbedingte staatliche Mehreinnahmen sollten genutzt werden, um Inflationslasten in der Breite effektiv abzumildern und einen wirkungsvollen Schutzschirm aufzuspannen. Liebe Ampel 🚦 lasst #Studenten und #Rentner nicht im Regen ☔️ stehen!

CDU/CSU-Bundestagsfraktion @cducsubt
RCDS [Ring Christlich-Demokratischer Studenten] @rcds.bund @rcds_dresden 
Junge Union Deutschlands @junge_union @ju_dresden","2022-05-10T06:56:31","Publicación de Instagram",95,2,NA,NA,0,0,"2022-05-10","06:56:31","reise gehe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-10 06:56:31
"2","🇪🇺 Braucht die Europäische Union ein Update?

Bürger und Parlamentarier aus allen Mitgliedsländern haben sich ein Jahr lang mit der Frage beschäftigt. Pünktlich zum heutigen #Europatag am 9. Mai legt die Konferenz zur Zukunft Europas #CoFoE 325 Reformideen vor.

Gewünscht: mehr Bürgernähe!

CDU/CSU-Bundestagsfraktion Die Sächsische Union 🇪🇺","2022-05-09T05:30:01","Publicación de Instagram",102,7,NA,NA,2,0,"2022-05-09","05:30:01","ucht die E","https://www.instagram.com/p/CdVlxbOIlmu/","🇪🇺 Braucht die Europäische Union ein Update?

Bürger und Parlamentarier aus allen Mitgliedsländern haben sich ein Jahr lang mit der Frage beschäftigt. Pünktlich zum heutigen #Europatag am 9. Mai legt die Konferenz zur Zukunft Europas #CoFoE 325 Reformideen vor.

Gewünscht: mehr Bürgernähe!

CDU/CSU-Bundestagsfraktion Die Sächsische Union 🇪🇺
2 Tage",2022-05-10,2,"symboleworter","worter","gebastelt","Internationalpolitik","Europa",1,NA,NA,2022-05-09 05:30:01
"3","Der #Europatag wird alljährlich am 9. Mai für Frieden und Einheit in #Europa 🇪🇺 begangen. Er markiert den Jahrestag der Schuman-Erklärung, in der Robert Schuman seine Idee für eine neue Form der politischen Zusammenarbeit in Europa vorstellte, die einen Krieg zwischen den Nationen Europas undenkbar machen sollte.

Aktuell erreichen uns täglich Greuelnachrichten von #PutinsKrieg gegen die #Ukraine 🇺🇦 und damit wird umso mehr immer wieder deutlich, wie notwendig die #Friedensinitiative 🕊 der Europäische Kommission – Vertretung in Deutschland 🇩🇪 ist.

„Mein Herz schlägt für Europa, weil es als starker Staatenverbund meiner Überzeugung nach unser aller alternativloses, gemeinsames, friedvolles Zuhause der Zukunft ist. Wir sollten von Deutschland aus all unsere Kraft bündeln, um als Kraft der Mitte Europa zusammenzuhalten.“","2022-05-08T21:00:25","Publicación de Instagram",93,5,NA,NA,0,0,"2022-05-08","21:00:25","uropatag w","https://www.instagram.com/p/CdUrdEaoK3r/","Der #Europatag wird alljährlich am 9. Mai für Frieden und Einheit in #Europa 🇪🇺 begangen. Er markiert den Jahrestag der Schuman-Erklärung, in der Robert Schuman seine Idee für eine neue Form der politischen Zusammenarbeit in Europa vorstellte, die einen Krieg zwischen den Nationen Europas undenkbar machen sollte.

Aktuell erreichen uns täglich Greuelnachrichten von #PutinsKrieg gegen die #Ukraine 🇺🇦 und damit wird umso mehr immer wieder deutlich, wie notwendig die #Friedensinitiative 🕊 der Europäische Kommission – Vertretung in Deutschland 🇩🇪 ist.

„Mein Herz schlägt für Europa, weil es als starker Staatenverbund meiner Überzeugung nach unser aller alternativloses, gemeinsames, friedvolles Zuhause der Zukunft ist. Wir sollten von Deutschland aus all unsere Kraft bündeln, um als Kraft der Mitte Europa zusammenzuhalten.“
2 Tage",2022-05-10,0,"worter","worter","gebastelt","Internationalpolitik","Europa",1,NA,NA,2022-05-08 21:00:25
"4","Das vergangene Jahr war von Krisen geprägt und genauso geht es weiter. In dieser herausfordernden Zeit ist eines besonders wichtig, das Handeln im Zeichen der Menschlichkeit. Unter diesem Motto sind viele Rotkreuzlerinnen und Rotkreuzler auf der ganzen Welt im Einsatz. Ich bin dankbar, persönlich als Vorsitzender vom Roten Kreuz in Dresden einen kleinen Teil dazu beitragen zu können.

Zum Internationalen #Weltrotkreuztag am 8. Mai 2022 wollen wir gemeinsam die kleinen Gesten der Menschlichkeit feiern. Sie machen für das jeweilige Gegenüber einen großen Unterschied! Heinz Rudolf Kunze hat es in seinem Lied wieder einmal auf den Punkt getroffen: 

„Es sind die ganz normalen Menschen
Sie leben gestern heute morgen
Mit ihren ganz normalen Ängsten
Mit ihren Fehlern ihren Sorgen
Sie werden allzu gern belächelt
Sie werden häufig übersehen
Doch ohne sie geht überhaupt nichts
Um diese Menschen muss es gehen“

International Committee of the Red Cross Deutsches Rotes Kreuz #BeHumanKIND","2022-05-07T23:05:26","Publicación de Instagram",119,2,NA,NA,0,0,"2022-05-07","23:05:26","rgangene J","https://www.instagram.com/p/CdSU93koWec/","Das vergangene Jahr war von Krisen geprägt und genauso geht es weiter. In dieser herausfordernden Zeit ist eines besonders wichtig, das Handeln im Zeichen der Menschlichkeit. Unter diesem Motto sind viele Rotkreuzlerinnen und Rotkreuzler auf der ganzen Welt im Einsatz. Ich bin dankbar, persönlich als Vorsitzender vom Roten Kreuz in Dresden einen kleinen Teil dazu beitragen zu können.

Zum Internationalen #Weltrotkreuztag am 8. Mai 2022 wollen wir gemeinsam die kleinen Gesten der Menschlichkeit feiern. Sie machen für das jeweilige Gegenüber einen großen Unterschied! Heinz Rudolf Kunze hat es in seinem Lied wieder einmal auf den Punkt getroffen:

„Es sind die ganz normalen Menschen
Sie leben gestern heute morgen
Mit ihren ganz normalen Ängsten
Mit ihren Fehlern ihren Sorgen
Sie werden allzu gern belächelt
Sie werden häufig übersehen
Doch ohne sie geht überhaupt nichts
Um diese Menschen muss es gehen“

International Committee of the Red Cross Deutsches Rotes Kreuz #BeHumanKIND
3 Tage",2022-05-09,0,"menschenworter","inzwischen","gebastelt","Gesellschaft","Ephemeriden",1,NA,NA,2022-05-07 23:05:26
"5","Mit der bedingungslosen Kapitulation Deutschlands am 8. Mai 1945 endete der Zweite Weltkrieg in Europa. Nun jährt sich dieser Tag zum 77. Mal.
Er ist Mahnung und Verpflichtung zugleich.

CDU/CSU-Bundestagsfraktion","2022-05-07T15:00:07","Publicación de Instagram",143,12,NA,NA,0,0,"2022-05-07","15:00:07","r bedingun","https://www.instagram.com/p/CdRdbULKFsx/","Mit der bedingungslosen Kapitulation Deutschlands am 8. Mai 1945 endete der Zweite Weltkrieg in Europa. Nun jährt sich dieser Tag zum 77. Mal.
Er ist Mahnung und Verpflichtung zugleich.

CDU/CSU-Bundestagsfraktion
3 Tage",2022-05-09,0,"worter","worter","gebastelt","Ephemeriden","Weltkrieges",1,NA,NA,2022-05-07 15:00:07
"6","„Mach einfach mit!“ - Ein einfacher Satz, der für manche Menschen aber so viel mehr bedeutet. In Deutschland leben 81 Millionen Menschen, jeder achte davon hat eine Beeinträchtigung. 
Inklusive Bildung ist also kein Nischenthema. 

Klar, nicht sehen, hören oder gehen können – das sind Arten von Beeinträchtigungen, die wohl allen bekannt sind. Doch es gibt auch viele andere Beeinträchtigungen, die kaum jemand sieht oder kennt. Das spiegelt sich natürlich auch in den Jüngsten unserer Gesellschaft wieder. In Deutschland haben insgesamt etwa 7 Prozent aller Schülerinnen und Schüler Förderbedarf (Quelle: Aktion Mensch). Dazu zählen Kinder mit einer körperlichen Beeinträchtigung genauso wie Kinder mit einer Lernschwäche oder Verhaltensauffälligkeiten.

Als Berichterstatter der CDU/CSU-Bundestagsfraktion zum Thema #InklusiveBildung möchte ich in den kommenden Wochen und Monaten gemeinsam mit euch tiefer in das Thema einsteigen! Für einen ungezwungenen Umgang miteinander brauchen wir den direkten Kontakt und gemeinsame Erlebnisse. Nicht nur unsere Kinder können davon profitieren – Berührungsängste abbauen, Vorurteile verhindern und vor allem für wirklich alle:
Einfach teilhaben.

Am heutigen 5. Mai 2022 feiert der Europäische Protesttag zur Gleichstellung von Menschen mit Behinderung sein 30. Jubiläum. Er wurde 1992 von der Interessenvertretung Selbstbestimmt Leben in Deutschland (ISL) initiiert und findet 2022 zum 30. Mal statt.

#Inklusion #EinfachTeilhaben #InklusionLeben","2022-05-04T21:00:40","Publicación de Instagram",147,11,NA,NA,0,0,"2022-05-04","21:00:40","einfach mi","https://www.instagram.com/p/CdKYTWdKSE6/","„Mach einfach mit!“ - Ein einfacher Satz, der für manche Menschen aber so viel mehr bedeutet. In Deutschland leben 81 Millionen Menschen, jeder achte davon hat eine Beeinträchtigung.
Inklusive Bildung ist also kein Nischenthema.

Klar, nicht sehen, hören oder gehen können – das sind Arten von Beeinträchtigungen, die wohl allen bekannt sind. Doch es gibt auch viele andere Beeinträchtigungen, die kaum jemand sieht oder kennt. Das spiegelt sich natürlich auch in den Jüngsten unserer Gesellschaft wieder. In Deutschland haben insgesamt etwa 7 Prozent aller Schülerinnen und Schüler Förderbedarf (Quelle: Aktion Mensch). Dazu zählen Kinder mit einer körperlichen Beeinträchtigung genauso wie Kinder mit einer Lernschwäche oder Verhaltensauffälligkeiten.

Als Berichterstatter der CDU/CSU-Bundestagsfraktion zum Thema #InklusiveBildung möchte ich in den kommenden Wochen und Monaten gemeinsam mit euch tiefer in das Thema einsteigen! Für einen ungezwungenen Umgang miteinander brauchen wir den direkten Kontakt und gemeinsame Erlebnisse. Nicht nur unsere Kinder können davon profitieren – Berührungsängste abbauen, Vorurteile verhindern und vor allem für wirklich alle:
Einfach teilhaben.

Am heutigen 5. Mai 2022 feiert der Europäische Protesttag zur Gleichstellung von Menschen mit Behinderung sein 30. Jubiläum. Er wurde 1992 von der Interessenvertretung Selbstbestimmt Leben in Deutschland (ISL) initiiert und findet 2022 zum 30. Mal statt.

#Inklusion #EinfachTeilhaben #InklusionLeben
6 Tage",2022-05-07,0,"menschenworter","inzwischen","gebastelt","Bildung","Inklusion",1,NA,NA,2022-05-04 21:00:40
"7","Das Bundesministerium für Bildung und Forschung hat die Eckpunkte für die Deutsche Agentur für Transfer und Innovation (#DATI) vorgelegt. Die weitere Ausgestaltung haben wir bei einem Parlamentarischen Frühstück der #Hochschulallianz für den #Mittelstand diskutiert.

Mir stellt sich die Frage welchen Mehrwert diese Agentur haben wird. Viel wird - aus meiner Sicht - davon abhängen, in welcher Rechtsform die Agentur gegründet wird. Mehr Informationen zum Prozess und den unterschiedlichen Meinungen dazu könnt ihr der auf meiner Website veröffentlichten Presseinfo ℹ️ entnehmen.

👉 https://www.lars-rohwer.de/aktuelles/2022/hochschulallianz-fuer-den-mittelstand-hafm-mit-vertreterinnen-aus-politik-und-wirtschaft","2022-05-04T09:00:58","Publicación de Instagram",105,3,NA,NA,0,0,"2022-05-04","09:00:58","ndesminist","https://www.instagram.com/p/CdJF8NIqbMp/","Das Bundesministerium für Bildung und Forschung hat die Eckpunkte für die Deutsche Agentur für Transfer und Innovation (#DATI) vorgelegt. Die weitere Ausgestaltung haben wir bei einem Parlamentarischen Frühstück der #Hochschulallianz für den #Mittelstand diskutiert.

Mir stellt sich die Frage welchen Mehrwert diese Agentur haben wird. Viel wird - aus meiner Sicht - davon abhängen, in welcher Rechtsform die Agentur gegründet wird. Mehr Informationen zum Prozess und den unterschiedlichen Meinungen dazu könnt ihr der auf meiner Website veröffentlichten Presseinfo ℹ️ entnehmen.

👉 https://www.lars-rohwer.de/aktuelles/2022/hochschulallianz-fuer-den-mittelstand-hafm-mit-vertreterinnen-aus-politik-und-wirtschaft
6 Tage",2022-05-06,0,"Unterseiteworter","inzwischen","gebastelt","Bildung",NA,1,NA,NA,2022-05-04 09:00:58
"8","Aus aktuellem Anlass wiederhole ich meine Lageeinschätzung von letzter Woche:

https://www.lars-rohwer.de/aktuelles/2022/mein-blick-auf-den-krieg-in-der-ukraine

Stellungnahme der Sächsischen Landesgruppe der CDU/CSU-Bundestagsfraktion zur Frage von Waffenlieferungen an die Ukraine:

„Seit 2 Monate führt Russland einen brutalen und völkerrechtswidrigen Angriffskrieg gegen die Ukraine. Am vergangenen Donnerstag haben wir im Deutschen Bundestag klar für Waffenlieferungen an die Ukraine gestimmt. Damit teilen wir nicht die Auffassung des sächsischen Ministerpräsidenten Michael Kretschmer. Die Unterstützung des Selbstverteidigungsrechts der Ukraine ist bedeutend für den Schutz von Frieden und Freiheit in Europa und auch die Suche nach einer diplomatischen Lösung. In der Ukraine wird über das neue geopolitische Gleichgewicht entschieden. Daher sehen wir es als unbedingt erforderlich an, dass Deutschland gemeinsam mit seinen Verbündeten eine unabhängige Ukraine unterstützt. Entsprechend begrüßen wir auch, dass unser Fraktionsvorsitzender Friedrich Merz einer Einladung des ukrainischen Parlaments folgt.“","2022-05-03T05:07:17","Publicación de Instagram",139,6,NA,NA,0,0,"2022-05-03","05:07:17","tuellem An","https://www.instagram.com/p/CdGGZt1qdfg/","Aus aktuellem Anlass wiederhole ich meine Lageeinschätzung von letzter Woche:

https://www.lars-rohwer.de/aktuelles/2022/mein-blick-auf-den-krieg-in-der-ukraine

Stellungnahme der Sächsischen Landesgruppe der CDU/CSU-Bundestagsfraktion zur Frage von Waffenlieferungen an die Ukraine:

„Seit 2 Monate führt Russland einen brutalen und völkerrechtswidrigen Angriffskrieg gegen die Ukraine. Am vergangenen Donnerstag haben wir im Deutschen Bundestag klar für Waffenlieferungen an die Ukraine gestimmt. Damit teilen wir nicht die Auffassung des sächsischen Ministerpräsidenten Michael Kretschmer. Die Unterstützung des Selbstverteidigungsrechts der Ukraine ist bedeutend für den Schutz von Frieden und Freiheit in Europa und auch die Suche nach einer diplomatischen Lösung. In der Ukraine wird über das neue geopolitische Gleichgewicht entschieden. Daher sehen wir es als unbedingt erforderlich an, dass Deutschland gemeinsam mit seinen Verbündeten eine unabhängige Ukraine unterstützt. Entsprechend begrüßen wir auch, dass unser Fraktionsvorsitzender Friedrich Merz einer Einladung des ukrainischen Parlaments folgt.“
1 Wo.",2022-05-03,0,"larsworter","inzwischen","profesional","Ukraine",NA,1,NA,NA,2022-05-03 05:07:17
"9","In der heutigen Zeit sind ausnahmslos alle Länder dieser Welt miteinander verwoben. Unsere individuelle Lebenswirklichkeit beschränkt sich dabei nur auf einen kleinen Teil. Wir sind darauf angewiesen, dass Journalisten uns informieren: über andere Länder, andere Themen, andere Systeme. #Pressefreiheit ist nicht ohne Grund eines der definierten Grundrechte! 

Zum Tag der Pressefreiheit wünsche ich mir, dass Journalisten allumfassend und ausgewogen berichten. Nutzt die Pressefreiheit im Sinne der #Meinungsvielfalt in unserem Land!

Leider ist diese Freiheit nicht immer und in jedem Land gegeben. Die Arbeit für Journalisten wird weltweit immer gefährlicher. 2021 wurden 293 Journalisten festgenommen - zum sechsten Jahr in Folge wurde damit eine Rekordzahl dokumentiert. Nie zuvor haben so viele Journalisten weltweit aufgrund ihrer Arbeit im Gefängnis gesessen wie derzeit. Einer davon ist Andrei Kuznechyk. Dieser belarussische Journalist sitzt seit 2021 ohne klare Strafanzeige in Minsk im Gefängnis. Er ist einer von 19 inhaftierten Journalisten, die letztes Jahr in Belarus gezählt wurden - Mehr Festnahmen gab es laut eines Berichts der Journalisten-Organisation CPJ nur in China (50), Myanmar (26), Ägypten (25) und Vietnam (23). Freie Berichterstattung und Demokratie gehen Hand in Hand. Bewahren wir dieses hohe Gut!

@libereco #tagderpressefreheit #pressefreheit","2022-05-02T21:00:13","Publicación de Instagram",101,4,NA,NA,0,0,"2022-05-02","21:00:13"," heutigen ","https://www.instagram.com/p/CdFOqWbK048/","In der heutigen Zeit sind ausnahmslos alle Länder dieser Welt miteinander verwoben. Unsere individuelle Lebenswirklichkeit beschränkt sich dabei nur auf einen kleinen Teil. Wir sind darauf angewiesen, dass Journalisten uns informieren: über andere Länder, andere Themen, andere Systeme. #Pressefreiheit ist nicht ohne Grund eines der definierten Grundrechte!

Zum Tag der Pressefreiheit wünsche ich mir, dass Journalisten allumfassend und ausgewogen berichten. Nutzt die Pressefreiheit im Sinne der #Meinungsvielfalt in unserem Land!

Leider ist diese Freiheit nicht immer und in jedem Land gegeben. Die Arbeit für Journalisten wird weltweit immer gefährlicher. 2021 wurden 293 Journalisten festgenommen - zum sechsten Jahr in Folge wurde damit eine Rekordzahl dokumentiert. Nie zuvor haben so viele Journalisten weltweit aufgrund ihrer Arbeit im Gefängnis gesessen wie derzeit. Einer davon ist Andrei Kuznechyk. Dieser belarussische Journalist sitzt seit 2021 ohne klare Strafanzeige in Minsk im Gefängnis. Er ist einer von 19 inhaftierten Journalisten, die letztes Jahr in Belarus gezählt wurden - Mehr Festnahmen gab es laut eines Berichts der Journalisten-Organisation CPJ nur in China (50), Myanmar (26), Ägypten (25) und Vietnam (23). Freie Berichterstattung und Demokratie gehen Hand in Hand. Bewahren wir dieses hohe Gut!

@libereco #tagderpressefreheit #pressefreheit
1 Wo.",2022-05-03,0,"menschenframed","bild","profesional","Medien","Ephemeriden",1,NA,NA,2022-05-02 21:00:13
"10","😷 2 Jahre #Corona🦠Pandemie
🇺🇦 #Putins Angriffskrieg auf die #Ukraine
📉 Drastisch gesunkene Wachstumsprognose
📈 Historisch hohe #Inflation

Die Lage der deutschen #Wirtschaft trübt sich merklich ein. Es braucht jetzt umgehend wirksame Antworten auf 
🛢 Energiepreis- und Rohstoffkrise 
🚨 massive Störungen in den Lieferketten. 
👷 anhaltenden Fachkräftemangel

Wir dürfen #Unternehmen und deren Beschäftigte nicht im Regen ☔️ stehen lassen! 

💪 Mit unserem ""Sofortprogramm für Unternehmen und Beschäftigte"" bringen wir ein umfassendes Paket an Maßnahmen in den #Bundestag ein, um die aktuellen Krisen zu überwinden und die wirtschaftspolitischen Weichen entschlossen auf #Leistungsfähigkeit, #Digitalisierung und #Nachhaltigkeit zu stellen. 🚀

CDU/CSU-Bundestagsfraktion CDU","2022-05-01T09:00:44","Publicación de Instagram",172,6,NA,NA,0,0,"2022-05-01","09:00:44","hre #Coron","https://www.instagram.com/p/CdBXh1roOwJ/","😷 2 Jahre #Corona🦠Pandemie
🇺🇦 #Putins Angriffskrieg auf die #Ukraine
📉 Drastisch gesunkene Wachstumsprognose
📈 Historisch hohe #Inflation

Die Lage der deutschen #Wirtschaft trübt sich merklich ein. Es braucht jetzt umgehend wirksame Antworten auf
🛢 Energiepreis- und Rohstoffkrise
🚨 massive Störungen in den Lieferketten.
👷 anhaltenden Fachkräftemangel

Wir dürfen #Unternehmen und deren Beschäftigte nicht im Regen ☔️ stehen lassen!

💪 Mit unserem ""Sofortprogramm für Unternehmen und Beschäftigte"" bringen wir ein umfassendes Paket an Maßnahmen in den #Bundestag ein, um die aktuellen Krisen zu überwinden und die wirtschaftspolitischen Weichen entschlossen auf #Leistungsfähigkeit, #Digitalisierung und #Nachhaltigkeit zu stellen. 🚀

CDU/CSU-Bundestagsfraktion CDU
1 Wo.",2022-05-01,0,"symboleworter","worter","gebastelt","Wirtschaft","Krise",1,NA,NA,2022-05-01 09:00:44
