"","horario","mean_engagement","posts","suma_engagement"
"1",0,18.1333333333333,15,272
"2",1,20.25,16,324
"3",2,21.2352941176471,34,722
"4",3,12.2857142857143,7,86
"5",4,28.875,24,693
"6",5,28.5263157894737,19,542
"7",6,15.85,23,317
"8",7,19.5333333333333,17,293
"9",8,22.047619047619,21,463
"10",9,43.6969696969697,37,1442
"11",10,14,17,238
"12",11,35.4,20,708
"13",12,29.4666666666667,15,442
"14",13,22.1111111111111,10,199
"15",14,25,11,275
"16",15,11,7,77
"17",16,45.3333333333333,4,136
"18",17,61,1,61
"19",21,20.0526315789474,38,762
"20",22,39.65625,32,1269
"21",23,22.05,20,441
