"","texto","datahora","n_control","n_reacciones"
"1","So Ist Es. 👌 Unter Demokraten Gratuliert Man, Wenn Man Es Nicht Geschafft Hat. 🙋🏻‍♂️","2022-03-27t11:04:02",4,10
"2","Unsere Gesellschaft Wird Getragen Von Unzähligen Menschen, Die Oft Ehrenamtlich Aber Auch Hauptberuflich Politische Verantwortung Auf Der Kommunalen Ebene Übernehmen. #Deutschland Ist Wie Ein Puzzle: Am Ende Funktioniert Das Große Ganze Nur, Wenn Jedes Teil Am Richtigen Fleck Sitzt Und Sein Potenzial Entfaltet! 🧩

Heute Eröffnet Die Cdu Ein Neues #Kommunalbüro, Um Das Wichtige Engagement Unserer Mitglieder In Den Kommunen Zu Unterstützen. Es Ist Gut, Dass Die #Cdu Sich Stärker Für Die Kommunalpolitische Basis Aufstellt! Gemeinsam Mit Der #Kpv Und Den Angeboten Der Konrad-Adenauer-Stiftung Sind Wir Gut Gewappnet. 🧩 

Konrad-Adenauer-Stiftung Konrad-Adenauer-Stiftung Sachsenanhalt Kommunalpolitische Vereinigung Der Cdu Und Csu Deutschlands #Cdukommunal","2022-04-25t21:00:12",4,10
"3","#Deutschland #Gemeinsam #Machen

#Btw21 #26sep #Vollerenergie #Wahlkreis160 Elbe, Röder & Dresdner Heide #Erststimme #Rohwer #Zweitstimme #Cdu #Wegenmorgen","2021-09-13t02:30:00",4,9
"4","✝️ „Wahrlich, Dieser Ist Gottes Sohn Gewesen“ ✝️","2022-04-15t00:39:27",4,9
"5","🤜 Seit Einer Woche Läuft Die Sofort-#Briefwahl In #Dresden. 🤛
Sie Ist Einfach Zu Nutzen Und Ihr Entscheidet, Wer Im Nächsten Bundestag Für Unsere Region Mitbestimmt. #Erststimme #Rohwer 

#Btw21 #26sep #Cdu #Wahlkreis160 Elbe, Röder & Dresdner Heide #Vollerenergie In Den #Bundestag #Rohwer2021","2021-09-05t23:00:05",4,9
"6","🟡🔵 Dies Ist Eine Wichtige Und Gute Mission Unseres Fraktionschefs In Der Cdu/Csu-Bundestagsfraktion ⚫️🔴🟡
Nach #Kiew/#Ukraine

#Standwithu 🇺🇦","2022-05-03t02:50:07",4,9
"7","Gute Idee 👍 
Mit Neuen Vorsätzen Ins Neue Jahr 🤗","2021-12-27t14:24:58",4,9
"8","Heute Vormittag Live Im Deutschlandfunk 📻
👉 Jetzt Zum Nachhören, Wer Mag.👂

Https://Www.lars-Rohwer.de/Aktuelles/2021/Deutschlandfunk-Sendung-Kontrovers-Vom-01-11-2021","2021-11-01t14:16:34",4,9
"9","Seit Zwei Wochen Läuft Die #Briefwahl, Knapp Zwei Wochen Lang, Ist Die Briefwahl Noch Möglich.

Bestimmt Mit, Wer Im Nächsten #Bundestag Die Regierung Stellt.

#Btw21 #26sep #Cdu #Erststimme #Rohwer2021 #Vollerenergje In Den Bundestag #Wahlkreis160 Elbe, Röder & Dresdner Heide","2021-09-12t21:09:11",4,9
"10","Warum Bin Ich Der Richtige Kandidat Für Den Wahlkreis 160?","2021-09-25t06:00:02",4,9
"11","„Alle Dinge Beginnen
In Der Ewigkeit Und
Hören Dort Auf.“

David Bowie","2022-01-19t22:10:45",4,8
"12","„Der Reichtum Des Lebens Besteht Aus Vergessenen,
Aber Gemeinsamen Erinnerungen.“

Cesare Pavese","2022-01-20t22:06:54",4,8
"13","#Dasgutetun ✖️ #Heute #Wählengehen 🗳
Noch 4️⃣ Stunden Haben Die Wahllokale Geöffnet.

#Btw21 #26sep #Cdu
#Vollerenergie #Wahlkreis160elbe, Röder & Dresdner Heidee
#Erststimme #Rohwer
#Zweitstimme #Arminlaschet
#Wegenmorgen","2021-09-26t05:00:37",4,8
"14","#Ewigkeitssonntag","2021-11-21t02:42:16",4,8
"15","✋ Heute Gilt‘s! 👍
In Zwei Stunden Öffnen Die Wahllokale Zur #Bundestagswahl2021.

#Dasgutetun ✍️ #Wählengehen 🗳

#Btw21  #26sep #Cdu #Vollerenergie #Bundestag #Wahlkreis160 #Erststimme #Rohwer #Wegenmorgen","2021-09-25t21:00:08",4,8
"16","🤜 Weil's Drauf Ankommt: Cdu 🤛
#Deutschland #Gemeinsam #Machen 

#Btw21 #26sep #Cdu #Vollerenergie In Den #Bundestag #Wahlkreis160 Elbe, Röder & Dresdner Heide #Erststimme #Rohwer #Zweitstimme Armin Laschet #Wegenmorgen","2021-09-20t02:30:36",4,8
"17","Achtung! ⚠️ Morgen Früh Im #Straßenverkehr - Augen Auf! 👀

Die #Schule 🏫 Beginnt Und Schülerinnen & Schüler Sind Wieder Unterwegs. Bitte Besonders Auf Die #Abcschützen Achten. 🙏

#Btw21 #Wahlkreis160 #Erststimme #Rohwer #Cdu #Wegenmorgen","2021-09-05t09:00:06",4,8
"18","Für Meine Fraktion Bin Ich Berichterstatter Für Das Büro Des Deutschen Bundestages Für Technikfolgen-Abschätzung - #Tab. Unermüdlich Erstellen Dessen Mitarbeiter Spannende Gutachten Und Studien!

Anlässlich Des #Weltmalariatags Am 25. April Sollen Im Rahmen Einer Moderierten Podiumsdiskussion Sowohl Der Stand Der Impfstoffentwicklung Als Auch Der Gänzlich Neue Gene-Drive-Ansatz Zur Bekämpfung Der #Malaria Übertragenden #Anopheles-Stechmücke Vorgestellt Werden. Von Den Eingeladenen Experten Soll Uns Parlamentariern Die Möglichkeit Geboten Werden, Sich Zu Den Potenzialen Und Herausforderungen Dieser Beiden Technologischen Innovationen Zur Malariabekämpfung Auszutauschen. Wie Realistisch Ist Deren Umsetzung Angesichts Der Vorhandenen Sozioökonomischen Und Regulativen Hemmnisse?

Cdu/Csu-Bundestagsfraktion #Bundestag","2022-04-19t21:01:00",4,8
"19","Ort Der Erholung, Klimaschützer, Arbeitsplatz - Unser #Wald Hat Viele Talente. Damit Uns Der Wald Mit Seinen Vielfältigen Aufgaben Auch In Den Kommenden Jahrzehnten Erhalten Bleibt, Setzen Wir Auf Eine Multifunktionale Und Nachhaltige #Forstwirtschaft 🌳🌲

Waldbesitzer Brauchen Eine Finanzielle Honorierung Ihrer Ökosystemleistungen, Damit Sie Den Wald Klimagerecht Umbauen Können. Außerdem Fordern Wir Eine Stärkere Förderung Von #Holz Als Bau-, Werk- Und Brennstoff. Wir Glauben, Dass Ökologisch Intakte Wälder Und Eine Nachhaltige Wirtschaftliche Nutzung Kein Widerspruch Sind. Im Gegenteil: Sie Bedingen Einander 🤝

#Tagdeswaldes","2022-03-21t08:00:51",4,8
"20","#Deutschland #Gemeinsam #Machen

#Btw21 #26sep #Vollerenergie #Wahlkreis160 Elbe, Röder & Dresdner Heide #Erststimme #Rohwer #Zweitstimme #Cdu #Wegenmorgen","2021-09-11t02:30:04",4,7
"21","#Tagdesnotruf - 112","2022-02-11t11:27:45",4,7
"22","⚡ #Strom Darf Kein Luxus Sein! ⚠️
Unser Vorschlag: Alle Möglichkeiten Ergebnisoffen Prüfen Und Nur Bei Vorhandener #Versorgungssicherheit #Kraftwerke 🏭 Stilllegen.

Und Der Weitere Ausbau Der #Erneuerbaren Braucht Genau Jetzt Auch Klare Perspektiven Für #Energiespeicher! Denn Ab 50% Erneuerbaren #Energien Im Netz, Geht Es Nur Mit #Speichern - Egal Ob Beim #Strom Oder Auch Bei Der #Wärme.

Mehr Infos Gibt's Auf Cducsu.de

Cdu/Csu-Bundestagsfraktion","2022-03-18t00:00:17",4,7
"23","🤔 Wo Bleibt Hier Eigentlich Der #Wumms, Herr Bundeskanzler?

Die #Energiepreise Belasten Uns Alle Enorm. Das Scheint Die #Breg Nicht Wahrzunehmen. Wir Schon! Es Braucht Jetzt Unbürokratische Maßnahmen, Die Sofort & Spürbar Wirken.

📉Runter Mit Der Strom- & Energiesteuer
📉Runter Mit Der Mehrwertsteuer Auf 7%
⚖Kalte Progression Ausgleichen
❌Ökosteuer Abschaffen

Mehr Infos Gibt's Auf 👉 Cducsu.de

Cdu/Csu-Bundestagsfraktion","2022-03-17t22:03:36",4,7
"24","🤜 Weil's Drauf Ankommt: Cdu 🤛
#Deutschland #Gemeinsam #Machen 

#Btw21 #26sep #Cdu #Vollerenergie In Den #Bundestag #Wahlkreis160 Elbe, Röder & Dresdner Heide #Erststimme #Rohwer #Zweitstimme Armin Laschet #Wegenmorgen","2021-09-24t02:30:46",4,7
"25","Die Hilfsbereitschaft In Deutschland Ist Nach Wie Vor Überwältigend. Viele Engagieren Sich Ehrenamtlich, Helfen Den Ukrainischen Kriegsvertriebenen. Das Verdient Unser Aller Dank Und Anerkennung. Die Bundesregierung Aber Hinkt Hinterher. Mit Unserem #Masterplanjetzt Geben Wir Impulse Für Eine Strategie, Um

👉 Eine Gute Und Faire Unterbringung In 🇩🇪 & 🇪🇺 Zu Ermöglichen,
👉 Die Gesundheitliche Versorgung Zu Koordinieren,
👉 Den Bund Besser Mit Den Ehrenamtlichen Zu Verzahnen.

Die #Bundesregierung Kann Sich Nicht Länger Auf Kosten Der Ehrenamtlichen Und Kommunen Ausruhen. Auch Aus Den Ländern Werden Die Hilferufe Lauter.
Wie Lange Wollen Sie Das Noch Geschehen Lassen Und Nicht Gestalten, Herr #Bundeskanzler?

Cdu/Csu-Bundestagsfraktion","2022-04-06t02:30:48",4,7
"26","Für Ein Gutes #Leben In Der #Stadt Und Auf Dem #Land.
#Wahlkreis160 Elbe, Röder & Dresdner Heide

#Dasgutetun 🍀 #Wählengehen 💚

#Btw21 #26sep #Cdu
#Vollerenergie In Den #Bundestagswahl
#Erststimme #Rohwer 
#Wegenmorgen","2021-09-22t06:00:06",4,7
"27","Jetzt ❗️ Komm Ins #Teamcdu

In Diesem Moment Startet Der Bundesparteitag Der #Cdu - Sei Live Dabei Auf Cdu.tv Und Auf Phoenix - #Cdupt22","2022-01-22t01:30:20",4,7
"28","Klingt Interessant. Einschalten! 🖥","2021-12-08t14:55:00",4,7
"29","Kurzer Rückblick Mit Unserem Fraktionschef Auf Die Woche Im #Bundestag. 🙋🏻‍♂️","2022-01-17t15:18:14",4,7
"30","Was Ist Schon Ein Achtzigstel Seines Lebens, Wenn Man Es Für Die Gesellschaft Aufbringt?

Die Aktuelle Situation Führt Uns Einmal Mehr Vor Augen, Warum Wir Ein #Gesellschaftsjahr Für #Deutschland 🇩🇪 Brauchen. Bedarf Gibt Es Genug: Im #Rettungsdienst ⛑️, In Der #Bundeswehr 🪖, Beim #Thw, Beim #Drk 🚑 Den #Johannitern 🚨 #Maltesern Oder #Asb. Oder Bei Der #Feuerwehr 👩🏼‍🚒 In Der #Jugendarbeit, In Sozialen Und Pflegeeinrichtungen 👩🏻‍⚕️ Oder Auch Im Ökologischen Bereich - Beispielweise Auf Bauernhöfen 👨🏻‍🌾. Ein Jahr Dienst An Der Gesellschaft Wäre Ein Echter Mehrwert Für Alle Menschen, Egal Ob Jung Oder Alt, Egal Ob Mann 💁🏻‍♂️ Oder Frau 👩🏻 ! 

Und Es Wäre Ein Wichtiger Beitrag Für Den Sozialen Frieden Und Gesellschaftlichen Zusammenhalt In Deutschland. Ich Unterstütze Die Forderung Der Cdu Aus 2018 Nach Einem Verpflichtenden Gesellschaftsjahr Für Jeden, Frau Und Mann! 👱🏼‍♀️🧑🏻

🙋🏻‍♂️ Was Denkt Ihr? 🗣

#Verantwortungtragen #Zumgelingenbeitragen","2022-04-04t21:02:03",4,7
"31","#Weremember","2022-01-26t23:44:32",4,6
"32","Gut Wehr!

Mit Diesem Traditionellen Gruß Der #Feuerwehr 🚒🧯 Grüße Ich Ganz Herzlich Alle Feuerwehrleute 👩🏻‍🚒🧑🏼‍🚒👩🏻‍🚒 In Unserem Land Und Wünsche Ihnen Allen, Dass Sie Jeweils Von Ihren Diensten Für Uns Alle Unbeschadet Zurückkommen. Bleibt Gesund 🍀

Feuerwehr Gompitz Feuerwehr Dresden Freiwillige Feuerwehr Cossebaude Feuerwehr Arnsdorf Feuerwehr Radeberg Freiwillige Feuerwehr Dresden - Gorbitz Feuerwehr Löbtau Feuerwehr Dresden-Bühlau Feuerwehr Großröhrsdorf Feuerwehr Ottendorf Okrilla Förderverein  Feuerwehr Klotzsche Freiwillige Feuerwehr Schönfeld Feuerwehr Weixdorf Feuerwehr Wachau","2022-05-04t03:29:41",4,6
"33","Heute Ist Der Internationale #Tagdermuttersprache 🗣
Welche Ist Eure Lieblingssprache?","2022-02-21t10:15:44",4,6
"34","Jetzt Anmelden. 🙋🏻‍♂️","2022-02-28t15:59:15",4,6
"35","Wir Müssen Vor Die Lage Kommen, Um Nicht Der Entwicklung Weiter Hinterher Zu Hecheln.","2022-05-04t11:59:02",4,6
"36","#Slowenien 🇸🇮 Wählt Am 24. April 2022 Eine Neue #Nationalversammlung. Gewählt Werden Die 90 Abgeordneten Des Parlamentes.

Die Konrad-Adenauer-Stiftung Bietet Am Morgen Danach Eine #Wahlanalyse An. Über Diesen Link Könnt Ihr Euch Zur Teilnahme Anmelden: Https://Www.kas.de/De/Web/Bruessel/Veranstaltungen/Detail/-/Content/Der-Morgen-Danach-Slowenien-Hat-Gewaehlt

Hier Gibt‘s Weitere Infos Https://De.m.wikipedia.org/Wiki/Parlamentswahl_in_slowenien_2022","2022-04-20t21:01:01",4,5
"37","🤜 Weil's Drauf Ankommt: Cdu 🤛
#Deutschland #Gemeinsam #Machen 

#Btw21 #26sep #Cdu #Vollerenergie In Den #Bundestag #Wahlkreis160 Elbe, Röder & Dresdner Heide #Erststimme #Rohwer #Zweitstimme Armin Laschet #Wegenmorgen","2021-09-22t02:30:59",4,5
"38","Seit 1992 Rufen Die Vereinten Nationen Zum #Weltwassertag Auf. #Wasser 💦 Ist Die Essenziellste Ressource Allen Lebens.

Der Weltwassertag💧2022 Stärkt Unsere Aufmerksamkeit Für Unser Grundwasser, Unseren Unsichtbaren Schatz. Ich Möchte Uns In Erinnerung Rufen, Dass Allein Im #Wahlkreis160 Etliche Trinkwasserschutzgebiete Liegen; So Z.b. Bei #Großerkmannsdorf, #Größröhrsdorf, #Ottendorfokrilla Und Vom Wachwitzer #Elbhang Bis Nach #Pillnitz. Diese Gilt Es Zu Schützen. Lasst Uns Generell Mit Wasser Sparsam Umgehen!

#Grundwasser #Grundwasserschutz #Moor #Elbe #Röder #Wassersparen","2022-03-22t10:01:03",4,5
"39","Mit Dem Impfvorsorgegesetz Der Cdu/Csu-Bundestagsfraktion Gewappnet Gegen Mögliche Weitere Corona-Wellen:

🖥️💉 Impfregister: Sichere Datenbasis, Wirksame Pandemiebekämpfung

🗣️📢 Impfkampagne: Bürger Gezielt Ansprechen, Vertrauen Schaffen

⚙️💉 Impfmechanismus: Impfkonzept Mit Stufenmodell, Der Nach Klaren Rahmenbedingungen Abläuft 

#Impfvorsorge #Corona #Impfregister #Impfkampagne #Pandemie #Impfenhilft","2022-03-17t09:35:07",4,4
"40","„Denn Es Ist Nicht Genug, Einen Guten Kopf Zu Haben; Die Hauptsache Ist,
Ihn Richtig Anzuwenden.“

René Descartes","2022-01-23t22:03:40",4,3
"41","😓 Am 19. Februar 2020 Verloren Zehn Menschen In #Hanau Auf Brutalste Weise Ihr Leben.
#Rassismustötet

Die Erinnerung Ist Auftrag Für Jeden In Unserem Land, Hass Und Hetze Jeden Tag Entschieden Entgegenzutreten. Denn Der Rechtsradikale Terror War Auch Ein Anschlag Auf Uns Alle.
Nur Wer In #Sicherheit Lebt, Kann Auch In #Freiheit Leben.🗽 

Unser Mitgefühl Gilt Den Hinterbliebenen. 🙏🕯 #Hanau1902 #Saytheirnames","2022-02-19t10:00:57",4,3
"42","Bildung, Bildung, Bildung 👩🏻‍🏫🧑‍🏫👨‍🏫
#Allgemein, #Kulturell Und #Inklusiv 

Wir Bleiben Dran.","2022-05-05t05:41:26",4,3
"43","Gern Mal Reinhören 🎧 
Die Politische Lage In Sachsen Ist Ja Immer Spannend 😉","2022-04-09t01:49:53",4,3
"44","Gewisse Dinge Greift Man So Vergeblich Mit Worten An Wie Geister Mit Waffen.

Wilhelm Busch","2022-02-12t22:00:09",4,3
"45","👌 Der Beste Und Natürlichste Co2-Speicher Überhaupt Ist Der Wald 🌳🌲🌳
#Tagdeswaldes 🌱","2022-03-21t00:10:26",4,2
"46","Das Bundesministerium Für Bildung Und Forschung Hat Die Eckpunkte Für Die Deutsche Agentur Für Transfer Und Innovation (#Dati) Vorgelegt. Die Weitere Ausgestaltung Haben Wir Bei Einem Parlamentarischen Frühstück Der #Hochschulallianz Für Den #Mittelstand Diskutiert.

Mir Stellt Sich Die Frage Welchen Mehrwert Diese Agentur Haben Wird. Viel Wird - Aus Meiner Sicht - Davon Abhängen, In Welcher Rechtsform Die Agentur Gegründet Wird. Mehr Informationen Zum Prozess Und Den Unterschiedlichen Meinungen Dazu Könnt Ihr Der Auf Meiner Website Veröffentlichten Presseinfo ℹ️ Entnehmen.

👉 Https://Www.lars-Rohwer.de/Aktuelles/2022/Hochschulallianz-Fuer-Den-Mittelstand-Hafm-Mit-Vertreterinnen-Aus-Politik-Und-Wirtschaft","2022-05-04t09:00:58",4,2
"47","Die Energiepreise Explodieren Und Die 🚦 Ampel Ist Mal Wieder Ausgefallen. Bereits Seit Oktober 2021 Können Sofortmaßnahmen Ergriffen Werden. Doch Die Bundesregierung Handelt Nicht. Wir Finden, Das Geht So Nicht. 

Deshalb Habe Ich Mit Den Kolleginnen Und Kollegen Der Cdu/Csu-Bundestagsfraktion 22 Vorschläge Erarbeitet, Um Alle In Deutschland 🇩🇪 Zeitnah, Wirksam Und Gerecht Zu Entlasten. 

Auf Meine Frage Zu Den #Kraftstoffpreisen Hat Die Bundesregierung Geantwortet. Der Staatssekretär Im Bundesministerium Für Wirtschaft Und Klimaschutz Dr. Patrick Graichen Führt Aus: “Informationen Über Die Der Preisgestellung Zugrundliegenden Kalkulationen Oder Preisberechnungen Der Mineralölgesellschaften Liegen Der #Bundesregierung Nicht Vor.
Die Steuern Auf Kraftstoffe Haben Keinen Anteil An Den Aktuellen Energiepreissteigerungen. Sie Machen Nur Einen Teil Der Kraftstoffpreise Aus. Unabhängig Von Der Mehrwertsteuer, Die Sich Prozentual Am Gesamtpreis Bemisst, Ist Der Energiesteueranteil Seit Dem Jahr 2003 Unverändert. Zum Jahreswechsel 2022 Erhöhte Sich Der Gesetzlich Festgelegte Co2-Preis Nach Dem Brennstoffemissionshandelsgesetz (Behg) Lediglich Um Rund 1,5 Cent Je Liter. Nachvollziehbar Sind Die Höheren Kraftstoffpreise Jedoch Insofern, Als Die Rohölpreise Auf Dem Weltmarkt Jüngst Deutlich Gestiegen Sind. Weiterer Grund Sind Die Geänderten Wechselkurse Zwischen Dollar Und Euro, Die Zuletzt Den Einkauf Der In Dollar Notierten Ölsorten In Den Euro-Raum Verteuert Haben.”

Unter Anderem Fordern Wir 👇

❌Eeg-Umlage Abschaffen. 
⬇️Stromsteuer Auf Europäisches Mindestmaß Absenken. 
⬆️Pendlerpauschale Anheben. 

Hier Geht Es Zu All Unseren Vorschlägen: Https://Dserver.bundestag.de/Btd/20/007/2000725.Pdf

Cdu/Csu-Bundestagsfraktion","2022-02-18t04:40:27",8,2
"48","“Wie Viel Arbeit Es Ist,
Es Einfach Zu Machen.”

Philipp Keel","2022-01-22t22:30:02",4,1
"49","Auftakt Zum Endspurt Zur Bundestagswahl 2021 Mit Michael Kretschmer & Lars Rohwer","2021-09-21t06:57:19",4,0
"50","Bürgersprechstunde #Wahlkreis160","2022-01-21t09:06:37",4,0
"51","Bürgersprechstunde #Wahlkreis160","2022-01-21t09:10:09",4,0
"52","Bürgersprechstunde #Wahlkreis160","2022-01-21t09:30:09",4,0
"53","Bürgersprechstunde #Wahlkreis160","2022-01-21t09:39:02",4,0
"54","Bürgersprechstunde #Wahlkreis160","2022-04-05t06:22:55",4,0
"55","Bürgersprechstunde #Wahlkreis160","2022-04-05t06:26:12",4,0
"56","Bürgersprechstunde #Wahlkreis160","2022-05-05t07:16:28",4,0
"57","Bürgersprechstunde #Wahlkreis160","2022-05-05t07:22:17",4,0
"58","Der Russische Angriffskrieg Auf Die #Ukraine 🇺🇦 Ist Eine Zeitenwende. 

Wir Müssen So Schnell Wie Möglich Die Abhängigkeit Von 🇷🇺 Rohstoffen Minimieren Und Setzen Uns Für Eine Souveräne, Sichere & Bezahlbare #Energieversorgung Ein.

Wie? Alle Infos Gibt's Auf Cducsu.de

Cdu/Csu-Bundestagsfraktion","2022-03-17t11:45:59",4,0
"59","Digitale Bürgersprechstunde Zum Wellenbrecher In Sachsen","2021-11-19t13:08:33",4,0
"60","Digitales Gespräch Mit Knut Abraham Mdb - Situation An Der Grenze Polen/Belarus","2021-11-12t16:17:22",4,0
