"","X","texto","datahora","medio","Alcance","LIKES","rtas","cliks","comments","compartida","fecha","hora","POSTID","URL","TEXTO","FECHA","COMMENTS","FOTO","img_word","pro_spon","TEMA1","TEMA2","N_FOTOS","Grund","...13","datahoraposi"
"1",194,"Einfach.Jetzt.Wählen. ✖️🗳

#btw21 #26Sep #CDU
#vollerEnergie #Wahlkreis160 
#Erststimme #ROHWER
#wegenmorgen","2021-09-11T07:45:55","Publicación de Instagram",76,1,NA,NA,0,0,"2021-09-11","07:45:55","h.Jetzt.Wä",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-09-11 07:45:55"
"2",1,"Die #Preise gehen durch die Decke & wir alle spüren es!

🛒 an der #Supermarktkasse 
⛽ an der #Zapfsäule 
🏘️ bei den #Heizkosten

Wie lange will die #Ampel 🚦 noch zuschauen? Jetzt ist die Zeit zu handeln!

Inflationsbedingte staatliche Mehreinnahmen sollten genutzt werden, um Inflationslasten in der Breite effektiv abzumildern und einen wirkungsvollen Schutzschirm aufzuspannen. Liebe Ampel 🚦 lasst #Studenten und #Rentner nicht im Regen ☔️ stehen!

CDU/CSU-Bundestagsfraktion @cducsubt
RCDS [Ring Christlich-Demokratischer Studenten] @rcds.bund @rcds_dresden 
Junge Union Deutschlands @junge_union @ju_dresden","2022-05-10T06:56:31","Publicación de Instagram",95,2,NA,NA,0,0,"2022-05-10","06:56:31","reise gehe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-05-10 06:56:31"
"3",4,"Das vergangene Jahr war von Krisen geprägt und genauso geht es weiter. In dieser herausfordernden Zeit ist eines besonders wichtig, das Handeln im Zeichen der Menschlichkeit. Unter diesem Motto sind viele Rotkreuzlerinnen und Rotkreuzler auf der ganzen Welt im Einsatz. Ich bin dankbar, persönlich als Vorsitzender vom Roten Kreuz in Dresden einen kleinen Teil dazu beitragen zu können.

Zum Internationalen #Weltrotkreuztag am 8. Mai 2022 wollen wir gemeinsam die kleinen Gesten der Menschlichkeit feiern. Sie machen für das jeweilige Gegenüber einen großen Unterschied! Heinz Rudolf Kunze hat es in seinem Lied wieder einmal auf den Punkt getroffen: 

„Es sind die ganz normalen Menschen
Sie leben gestern heute morgen
Mit ihren ganz normalen Ängsten
Mit ihren Fehlern ihren Sorgen
Sie werden allzu gern belächelt
Sie werden häufig übersehen
Doch ohne sie geht überhaupt nichts
Um diese Menschen muss es gehen“

International Committee of the Red Cross Deutsches Rotes Kreuz #BeHumanKIND","2022-05-07T23:05:26","Publicación de Instagram",119,2,NA,NA,0,0,"2022-05-07","23:05:26","rgangene J","https://www.instagram.com/p/CdSU93koWec/","Das vergangene Jahr war von Krisen geprägt und genauso geht es weiter. In dieser herausfordernden Zeit ist eines besonders wichtig, das Handeln im Zeichen der Menschlichkeit. Unter diesem Motto sind viele Rotkreuzlerinnen und Rotkreuzler auf der ganzen Welt im Einsatz. Ich bin dankbar, persönlich als Vorsitzender vom Roten Kreuz in Dresden einen kleinen Teil dazu beitragen zu können.

Zum Internationalen #Weltrotkreuztag am 8. Mai 2022 wollen wir gemeinsam die kleinen Gesten der Menschlichkeit feiern. Sie machen für das jeweilige Gegenüber einen großen Unterschied! Heinz Rudolf Kunze hat es in seinem Lied wieder einmal auf den Punkt getroffen:

„Es sind die ganz normalen Menschen
Sie leben gestern heute morgen
Mit ihren ganz normalen Ängsten
Mit ihren Fehlern ihren Sorgen
Sie werden allzu gern belächelt
Sie werden häufig übersehen
Doch ohne sie geht überhaupt nichts
Um diese Menschen muss es gehen“

International Committee of the Red Cross Deutsches Rotes Kreuz #BeHumanKIND
3 Tage","2022-05-09",0,"menschenworter","inzwischen","gebastelt","Gesellschaft","Ephemeriden",1,NA,NA,"2022-05-07 23:05:26"
"4",30,"Heute ist #Gründonnerstag, wir Christen erinnern uns an das letzte Abendmahl Jesu im Kreise seiner Jünger. Deshalb wende ich mich erneut der Thematik #Nahrungsmittel zu.

Die Preise für #Lebensmittel steigen 📈 aufgrund der Folgen von #PutinsKrieg in der #Ukraine 🇺🇦 rasant an. Umso wichtiger, dass die #Bundesregierung jetzt schnell und unbürokratisch handelt, den Anbau von Nahrungsmitteln weiterhin auch auf Brachflächen erlaubt und keine zusätzlichen Hürden durch Flächen-Stilllegungen einbaut. 
Aus meiner persönlichen Perspektive schließt sich nach Ostern 🐣 das Zeitfenster.

Der russische Angriffskrieg und die daraus entstehenden Folgen führen zu Leid und #Hunger weltweit. Die Zahl der Hungernden wird um bis zu 13 Millionen Menschen steigen. Die Unionsfraktion beantragt daher im zuständigen Ausschuss des #Bundestags eine Anhörung mit Sachverständigen zum Thema #Welternährung.

CDU/CSU-Bundestagsfraktion","2022-04-14T06:30:28","Publicación de Instagram",138,2,NA,NA,0,0,"2022-04-14","06:30:28","ist #Gründ","https://www.instagram.com/p/CcVU0XKKure/","Heute ist #Gründonnerstag, wir Christen erinnern uns an das letzte Abendmahl Jesu im Kreise seiner Jünger. Deshalb wende ich mich erneut der Thematik #Nahrungsmittel zu.

Die Preise für #Lebensmittel steigen 📈 aufgrund der Folgen von #PutinsKrieg in der #Ukraine 🇺🇦 rasant an. Umso wichtiger, dass die #Bundesregierung jetzt schnell und unbürokratisch handelt, den Anbau von Nahrungsmitteln weiterhin auch auf Brachflächen erlaubt und keine zusätzlichen Hürden durch Flächen-Stilllegungen einbaut.
Aus meiner persönlichen Perspektive schließt sich nach Ostern 🐣 das Zeitfenster.

Der russische Angriffskrieg und die daraus entstehenden Folgen führen zu Leid und #Hunger weltweit. Die Zahl der Hungernden wird um bis zu 13 Millionen Menschen steigen. Die Unionsfraktion beantragt daher im zuständigen Ausschuss des #Bundestags eine Anhörung mit Sachverständigen zum Thema #Welternährung.

CDU/CSU-Bundestagsfraktion
3 Wo.","2022-04-14",0,"worter","worter","gebastelt","Lebenskosten","Religiön",1,"meinung_teilen","Allgemein","2022-04-14 06:30:28"
"5",119,"Der Schmetterling ist das Plakatmotiv des 30. Elbhangfestes 2022 als Symbol für Auferstehung und Wandel.

2021 + 2020 musste das Elbhangfest auf Grund der Pandemie ausgesetzt werden. Mit dem kommenden Sommer steigt die Hoffnung, dass das Straßen- und Gartenfest im Juni stattfinden und Anwohner und Besucher glücklich machen kann.

Zwischen dem 24. – 26. Juni 2022 warten 200 Künstler, 11 Bühnen und Dampfer-Shuttle auf die Gäste.

Gern unterstütze ich für die fest am Dresdner Elbhang verankerte Veranstaltung und den Veranstalter des Festes, den gemeinnützigen Elbhangfest e. V. im Wahlkreis 160.

Unterstützen auch Sie mit dem Kauf eines Tickets das Stattfinden des Elbhangfestes!

Bis zum 30. April 2022 sollen insgesamt 25.000 Karten verkauft sein. Sonst droht erneut die Absage des Festes - was wirklich sehr schade wäre. In dem Fall erhalten alle Käufer den Kaufpreis erstattet. Kinder bis 18 Jahre haben freien Eintritt.

Auf das es heißen kann : ""Gute Gründe für Fantasie!""

https://www.lars-rohwer.de/aktuelles/2022/tickets-kaufen-elbhangfest-ermoeglichen","2022-02-07T22:00:44","Publicación de Instagram",149,2,NA,NA,0,0,"2022-02-07","22:00:44","hmetterlin","https://www.instagram.com/p/CZtC0HAK01d/","Der Schmetterling ist das Plakatmotiv des 30. Elbhangfestes 2022 als Symbol für Auferstehung und Wandel.

2021 + 2020 musste das Elbhangfest auf Grund der Pandemie ausgesetzt werden. Mit dem kommenden Sommer steigt die Hoffnung, dass das Straßen- und Gartenfest im Juni stattfinden und Anwohner und Besucher glücklich machen kann.

Zwischen dem 24. – 26. Juni 2022 warten 200 Künstler, 11 Bühnen und Dampfer-Shuttle auf die Gäste.

Gern unterstütze ich für die fest am Dresdner Elbhang verankerte Veranstaltung und den Veranstalter des Festes, den gemeinnützigen Elbhangfest e. V. im Wahlkreis 160.

Unterstützen auch Sie mit dem Kauf eines Tickets das Stattfinden des Elbhangfestes!

Bis zum 30. April 2022 sollen insgesamt 25.000 Karten verkauft sein. Sonst droht erneut die Absage des Festes - was wirklich sehr schade wäre. In dem Fall erhalten alle Käufer den Kaufpreis erstattet. Kinder bis 18 Jahre haben freien Eintritt.

Auf das es heißen kann : ""Gute Gründe für Fantasie!""

https://www.lars-rohwer.de/aktuelles/2022/tickets-kaufen-elbhangfest-ermoeglichen
12 Wo.","2022-02-08",0,"symboleworter","worter","gebastelt","freizeit","Elbhangfestes 2022",1,"Einladung",NA,"2022-02-07 22:00:44"
"6",172,"#DasGUTEtun ✖️ #Wählengehen 🗳

#btw21 #26Sep #CDU
#vollerEnergie #Wahlkreis160
#Erststimme #ROHWER
#Zweitstimme #ArminLaschet
#wegenmorgen","2021-09-25T04:36:34","Publicación de Instagram",60,2,NA,NA,0,0,"2021-09-25","04:36:34","TEtun ✖️ #",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-09-25 04:36:34"
"7",179,"#ROHWER2021-Film zu den #Werten in unserer #Gesellschaft

#btw21 #26Sep #CDU
#vollerEnergie #Wahlkreis160
#Erststimme #ROHWER
#wegenmorgen","2021-09-17T23:03:35","Publicación de Instagram",56,2,NA,NA,0,0,"2021-09-17","23:03:35","R2021-Film",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-09-17 23:03:35"
"8",183,"#Deutschland #gemeinsam #modern #machen

#btw21 #26Sep #CDU
#vollerEnergie #Wahlkreis160
#Erststimme #ROHWER
#wegenmorgen","2021-09-16T05:31:33","Publicación de Instagram",46,2,NA,NA,0,0,"2021-09-16","05:31:33","chland #ge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-09-16 05:31:33"
"9",188,"#Einfach.#Jetzt.#Wählen
#Briefwahl

#btw21 #26Sep #CDU #vollerEnergie #Wahlkreis160
#Erststimme #ROHWER
#wegenmorgen","2021-09-14T02:41:02","Publicación de Instagram",54,2,NA,NA,0,0,"2021-09-14","02:41:02","ch.#Jetzt.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-09-14 02:41:02"
"10",191,"#Deutschland #gemeinsam #machen 

#btw21 #26Sep #CDU
#vollerEnergie #Wahlkreis160
#Erststimme #ROHWER
#wegenmorgen","2021-09-12T14:52:03","Publicación de Instagram",67,2,NA,NA,0,0,"2021-09-12","14:52:03","chland #ge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-09-12 14:52:03"
