"","X","datahora","medio","Alcance","LIKES","rtas","cliks","comments","compartida","fecha","hora","datahoraposi","POSTID","datadate","FOTO","img_word","pro_spon","TEMA1","TEMA2","N_FOTOS","Grund","tokens"
"1",1,"2022-05-10T08:01:05","Publicación de Facebook",487,7,NA,14,2,0,"2022-05-10","08:01:05","2022-05-10 08:01:05","reise gehe","2022-05-10",NA,NA,NA,NA,NA,NA,NA,"preise"
"2",1,"2022-05-10T08:01:05","Publicación de Facebook",487,7,NA,14,2,0,"2022-05-10","08:01:05","2022-05-10 08:01:05","reise gehe","2022-05-10",NA,NA,NA,NA,NA,NA,NA,"gehen"
"3",1,"2022-05-10T08:01:05","Publicación de Facebook",487,7,NA,14,2,0,"2022-05-10","08:01:05","2022-05-10 08:01:05","reise gehe","2022-05-10",NA,NA,NA,NA,NA,NA,NA,"decke"
"4",1,"2022-05-10T08:01:05","Publicación de Facebook",487,7,NA,14,2,0,"2022-05-10","08:01:05","2022-05-10 08:01:05","reise gehe","2022-05-10",NA,NA,NA,NA,NA,NA,NA,"spüren"
"5",1,"2022-05-10T08:01:05","Publicación de Facebook",487,7,NA,14,2,0,"2022-05-10","08:01:05","2022-05-10 08:01:05","reise gehe","2022-05-10",NA,NA,NA,NA,NA,NA,NA,"supermarktkasse"
"6",1,"2022-05-10T08:01:05","Publicación de Facebook",487,7,NA,14,2,0,"2022-05-10","08:01:05","2022-05-10 08:01:05","reise gehe","2022-05-10",NA,NA,NA,NA,NA,NA,NA,"zapfsäule"
"7",1,"2022-05-10T08:01:05","Publicación de Facebook",487,7,NA,14,2,0,"2022-05-10","08:01:05","2022-05-10 08:01:05","reise gehe","2022-05-10",NA,NA,NA,NA,NA,NA,NA,"heizkosten"
"8",1,"2022-05-10T08:01:05","Publicación de Facebook",487,7,NA,14,2,0,"2022-05-10","08:01:05","2022-05-10 08:01:05","reise gehe","2022-05-10",NA,NA,NA,NA,NA,NA,NA,"lange"
"9",1,"2022-05-10T08:01:05","Publicación de Facebook",487,7,NA,14,2,0,"2022-05-10","08:01:05","2022-05-10 08:01:05","reise gehe","2022-05-10",NA,NA,NA,NA,NA,NA,NA,"ampel"
"10",1,"2022-05-10T08:01:05","Publicación de Facebook",487,7,NA,14,2,0,"2022-05-10","08:01:05","2022-05-10 08:01:05","reise gehe","2022-05-10",NA,NA,NA,NA,NA,NA,NA,"zuschauen"
"11",1,"2022-05-10T08:01:05","Publicación de Facebook",487,7,NA,14,2,0,"2022-05-10","08:01:05","2022-05-10 08:01:05","reise gehe","2022-05-10",NA,NA,NA,NA,NA,NA,NA,"zeit"
"12",1,"2022-05-10T08:01:05","Publicación de Facebook",487,7,NA,14,2,0,"2022-05-10","08:01:05","2022-05-10 08:01:05","reise gehe","2022-05-10",NA,NA,NA,NA,NA,NA,NA,"handeln"
"13",1,"2022-05-10T08:01:05","Publicación de Facebook",487,7,NA,14,2,0,"2022-05-10","08:01:05","2022-05-10 08:01:05","reise gehe","2022-05-10",NA,NA,NA,NA,NA,NA,NA,"inflationsbedingte"
"14",1,"2022-05-10T08:01:05","Publicación de Facebook",487,7,NA,14,2,0,"2022-05-10","08:01:05","2022-05-10 08:01:05","reise gehe","2022-05-10",NA,NA,NA,NA,NA,NA,NA,"staatliche"
"15",1,"2022-05-10T08:01:05","Publicación de Facebook",487,7,NA,14,2,0,"2022-05-10","08:01:05","2022-05-10 08:01:05","reise gehe","2022-05-10",NA,NA,NA,NA,NA,NA,NA,"mehreinnahmen"
"16",1,"2022-05-10T08:01:05","Publicación de Facebook",487,7,NA,14,2,0,"2022-05-10","08:01:05","2022-05-10 08:01:05","reise gehe","2022-05-10",NA,NA,NA,NA,NA,NA,NA,"sollten"
"17",1,"2022-05-10T08:01:05","Publicación de Facebook",487,7,NA,14,2,0,"2022-05-10","08:01:05","2022-05-10 08:01:05","reise gehe","2022-05-10",NA,NA,NA,NA,NA,NA,NA,"genutzt"
"18",1,"2022-05-10T08:01:05","Publicación de Facebook",487,7,NA,14,2,0,"2022-05-10","08:01:05","2022-05-10 08:01:05","reise gehe","2022-05-10",NA,NA,NA,NA,NA,NA,NA,"inflationslasten"
"19",1,"2022-05-10T08:01:05","Publicación de Facebook",487,7,NA,14,2,0,"2022-05-10","08:01:05","2022-05-10 08:01:05","reise gehe","2022-05-10",NA,NA,NA,NA,NA,NA,NA,"breite"
"20",1,"2022-05-10T08:01:05","Publicación de Facebook",487,7,NA,14,2,0,"2022-05-10","08:01:05","2022-05-10 08:01:05","reise gehe","2022-05-10",NA,NA,NA,NA,NA,NA,NA,"effektiv"
"21",1,"2022-05-10T08:01:05","Publicación de Facebook",487,7,NA,14,2,0,"2022-05-10","08:01:05","2022-05-10 08:01:05","reise gehe","2022-05-10",NA,NA,NA,NA,NA,NA,NA,"abzumildern"
"22",1,"2022-05-10T08:01:05","Publicación de Facebook",487,7,NA,14,2,0,"2022-05-10","08:01:05","2022-05-10 08:01:05","reise gehe","2022-05-10",NA,NA,NA,NA,NA,NA,NA,"wirkungsvollen"
"23",1,"2022-05-10T08:01:05","Publicación de Facebook",487,7,NA,14,2,0,"2022-05-10","08:01:05","2022-05-10 08:01:05","reise gehe","2022-05-10",NA,NA,NA,NA,NA,NA,NA,"schutzschirm"
"24",1,"2022-05-10T08:01:05","Publicación de Facebook",487,7,NA,14,2,0,"2022-05-10","08:01:05","2022-05-10 08:01:05","reise gehe","2022-05-10",NA,NA,NA,NA,NA,NA,NA,"aufzuspannen"
"25",1,"2022-05-10T08:01:05","Publicación de Facebook",487,7,NA,14,2,0,"2022-05-10","08:01:05","2022-05-10 08:01:05","reise gehe","2022-05-10",NA,NA,NA,NA,NA,NA,NA,"liebe"
"26",1,"2022-05-10T08:01:05","Publicación de Facebook",487,7,NA,14,2,0,"2022-05-10","08:01:05","2022-05-10 08:01:05","reise gehe","2022-05-10",NA,NA,NA,NA,NA,NA,NA,"ampel"
"27",1,"2022-05-10T08:01:05","Publicación de Facebook",487,7,NA,14,2,0,"2022-05-10","08:01:05","2022-05-10 08:01:05","reise gehe","2022-05-10",NA,NA,NA,NA,NA,NA,NA,"lasst"
"28",1,"2022-05-10T08:01:05","Publicación de Facebook",487,7,NA,14,2,0,"2022-05-10","08:01:05","2022-05-10 08:01:05","reise gehe","2022-05-10",NA,NA,NA,NA,NA,NA,NA,"studenten"
"29",1,"2022-05-10T08:01:05","Publicación de Facebook",487,7,NA,14,2,0,"2022-05-10","08:01:05","2022-05-10 08:01:05","reise gehe","2022-05-10",NA,NA,NA,NA,NA,NA,NA,"rentner"
"30",1,"2022-05-10T08:01:05","Publicación de Facebook",487,7,NA,14,2,0,"2022-05-10","08:01:05","2022-05-10 08:01:05","reise gehe","2022-05-10",NA,NA,NA,NA,NA,NA,NA,"regen"
"31",1,"2022-05-10T08:01:05","Publicación de Facebook",487,7,NA,14,2,0,"2022-05-10","08:01:05","2022-05-10 08:01:05","reise gehe","2022-05-10",NA,NA,NA,NA,NA,NA,NA,"stehen"
"32",1,"2022-05-10T08:01:05","Publicación de Facebook",487,7,NA,14,2,0,"2022-05-10","08:01:05","2022-05-10 08:01:05","reise gehe","2022-05-10",NA,NA,NA,NA,NA,NA,NA,"cdu"
"33",1,"2022-05-10T08:01:05","Publicación de Facebook",487,7,NA,14,2,0,"2022-05-10","08:01:05","2022-05-10 08:01:05","reise gehe","2022-05-10",NA,NA,NA,NA,NA,NA,NA,"csu"
"34",1,"2022-05-10T08:01:05","Publicación de Facebook",487,7,NA,14,2,0,"2022-05-10","08:01:05","2022-05-10 08:01:05","reise gehe","2022-05-10",NA,NA,NA,NA,NA,NA,NA,"bundestagsfraktion"
"35",1,"2022-05-10T08:01:05","Publicación de Facebook",487,7,NA,14,2,0,"2022-05-10","08:01:05","2022-05-10 08:01:05","reise gehe","2022-05-10",NA,NA,NA,NA,NA,NA,NA,"rcds"
"36",1,"2022-05-10T08:01:05","Publicación de Facebook",487,7,NA,14,2,0,"2022-05-10","08:01:05","2022-05-10 08:01:05","reise gehe","2022-05-10",NA,NA,NA,NA,NA,NA,NA,"ring"
"37",1,"2022-05-10T08:01:05","Publicación de Facebook",487,7,NA,14,2,0,"2022-05-10","08:01:05","2022-05-10 08:01:05","reise gehe","2022-05-10",NA,NA,NA,NA,NA,NA,NA,"christlich"
"38",1,"2022-05-10T08:01:05","Publicación de Facebook",487,7,NA,14,2,0,"2022-05-10","08:01:05","2022-05-10 08:01:05","reise gehe","2022-05-10",NA,NA,NA,NA,NA,NA,NA,"demokratischer"
"39",1,"2022-05-10T08:01:05","Publicación de Facebook",487,7,NA,14,2,0,"2022-05-10","08:01:05","2022-05-10 08:01:05","reise gehe","2022-05-10",NA,NA,NA,NA,NA,NA,NA,"studenten"
"40",1,"2022-05-10T08:01:05","Publicación de Facebook",487,7,NA,14,2,0,"2022-05-10","08:01:05","2022-05-10 08:01:05","reise gehe","2022-05-10",NA,NA,NA,NA,NA,NA,NA,"junge"
"41",1,"2022-05-10T08:01:05","Publicación de Facebook",487,7,NA,14,2,0,"2022-05-10","08:01:05","2022-05-10 08:01:05","reise gehe","2022-05-10",NA,NA,NA,NA,NA,NA,NA,"union"
"42",1,"2022-05-10T08:01:05","Publicación de Facebook",487,7,NA,14,2,0,"2022-05-10","08:01:05","2022-05-10 08:01:05","reise gehe","2022-05-10",NA,NA,NA,NA,NA,NA,NA,"deutschlands"
"43",2,"2022-05-09T05:20:30","Publicación de Facebook",383,9,NA,2,0,0,"2022-05-09","05:20:30","2022-05-09 05:20:30","ucht die E","2022-05-09","symboleworter","worter","gebastelt","Internationalpolitik","Europa",1,NA,"braucht"
"44",2,"2022-05-09T05:20:30","Publicación de Facebook",383,9,NA,2,0,0,"2022-05-09","05:20:30","2022-05-09 05:20:30","ucht die E","2022-05-09","symboleworter","worter","gebastelt","Internationalpolitik","Europa",1,NA,"europäische"
"45",2,"2022-05-09T05:20:30","Publicación de Facebook",383,9,NA,2,0,0,"2022-05-09","05:20:30","2022-05-09 05:20:30","ucht die E","2022-05-09","symboleworter","worter","gebastelt","Internationalpolitik","Europa",1,NA,"union"
"46",2,"2022-05-09T05:20:30","Publicación de Facebook",383,9,NA,2,0,0,"2022-05-09","05:20:30","2022-05-09 05:20:30","ucht die E","2022-05-09","symboleworter","worter","gebastelt","Internationalpolitik","Europa",1,NA,"update"
"47",2,"2022-05-09T05:20:30","Publicación de Facebook",383,9,NA,2,0,0,"2022-05-09","05:20:30","2022-05-09 05:20:30","ucht die E","2022-05-09","symboleworter","worter","gebastelt","Internationalpolitik","Europa",1,NA,"bürger"
"48",2,"2022-05-09T05:20:30","Publicación de Facebook",383,9,NA,2,0,0,"2022-05-09","05:20:30","2022-05-09 05:20:30","ucht die E","2022-05-09","symboleworter","worter","gebastelt","Internationalpolitik","Europa",1,NA,"parlamentarier"
"49",2,"2022-05-09T05:20:30","Publicación de Facebook",383,9,NA,2,0,0,"2022-05-09","05:20:30","2022-05-09 05:20:30","ucht die E","2022-05-09","symboleworter","worter","gebastelt","Internationalpolitik","Europa",1,NA,"mitgliedsländern"
"50",2,"2022-05-09T05:20:30","Publicación de Facebook",383,9,NA,2,0,0,"2022-05-09","05:20:30","2022-05-09 05:20:30","ucht die E","2022-05-09","symboleworter","worter","gebastelt","Internationalpolitik","Europa",1,NA,"jahr"
"51",2,"2022-05-09T05:20:30","Publicación de Facebook",383,9,NA,2,0,0,"2022-05-09","05:20:30","2022-05-09 05:20:30","ucht die E","2022-05-09","symboleworter","worter","gebastelt","Internationalpolitik","Europa",1,NA,"lang"
"52",2,"2022-05-09T05:20:30","Publicación de Facebook",383,9,NA,2,0,0,"2022-05-09","05:20:30","2022-05-09 05:20:30","ucht die E","2022-05-09","symboleworter","worter","gebastelt","Internationalpolitik","Europa",1,NA,"frage"
"53",2,"2022-05-09T05:20:30","Publicación de Facebook",383,9,NA,2,0,0,"2022-05-09","05:20:30","2022-05-09 05:20:30","ucht die E","2022-05-09","symboleworter","worter","gebastelt","Internationalpolitik","Europa",1,NA,"beschäftigt"
"54",2,"2022-05-09T05:20:30","Publicación de Facebook",383,9,NA,2,0,0,"2022-05-09","05:20:30","2022-05-09 05:20:30","ucht die E","2022-05-09","symboleworter","worter","gebastelt","Internationalpolitik","Europa",1,NA,"pünktlich"
"55",2,"2022-05-09T05:20:30","Publicación de Facebook",383,9,NA,2,0,0,"2022-05-09","05:20:30","2022-05-09 05:20:30","ucht die E","2022-05-09","symboleworter","worter","gebastelt","Internationalpolitik","Europa",1,NA,"heutigen"
"56",2,"2022-05-09T05:20:30","Publicación de Facebook",383,9,NA,2,0,0,"2022-05-09","05:20:30","2022-05-09 05:20:30","ucht die E","2022-05-09","symboleworter","worter","gebastelt","Internationalpolitik","Europa",1,NA,"europatag"
"57",2,"2022-05-09T05:20:30","Publicación de Facebook",383,9,NA,2,0,0,"2022-05-09","05:20:30","2022-05-09 05:20:30","ucht die E","2022-05-09","symboleworter","worter","gebastelt","Internationalpolitik","Europa",1,NA,"9"
"58",2,"2022-05-09T05:20:30","Publicación de Facebook",383,9,NA,2,0,0,"2022-05-09","05:20:30","2022-05-09 05:20:30","ucht die E","2022-05-09","symboleworter","worter","gebastelt","Internationalpolitik","Europa",1,NA,"mai"
"59",2,"2022-05-09T05:20:30","Publicación de Facebook",383,9,NA,2,0,0,"2022-05-09","05:20:30","2022-05-09 05:20:30","ucht die E","2022-05-09","symboleworter","worter","gebastelt","Internationalpolitik","Europa",1,NA,"legt"
"60",2,"2022-05-09T05:20:30","Publicación de Facebook",383,9,NA,2,0,0,"2022-05-09","05:20:30","2022-05-09 05:20:30","ucht die E","2022-05-09","symboleworter","worter","gebastelt","Internationalpolitik","Europa",1,NA,"konferenz"
"61",2,"2022-05-09T05:20:30","Publicación de Facebook",383,9,NA,2,0,0,"2022-05-09","05:20:30","2022-05-09 05:20:30","ucht die E","2022-05-09","symboleworter","worter","gebastelt","Internationalpolitik","Europa",1,NA,"zukunft"
"62",2,"2022-05-09T05:20:30","Publicación de Facebook",383,9,NA,2,0,0,"2022-05-09","05:20:30","2022-05-09 05:20:30","ucht die E","2022-05-09","symboleworter","worter","gebastelt","Internationalpolitik","Europa",1,NA,"europas"
"63",2,"2022-05-09T05:20:30","Publicación de Facebook",383,9,NA,2,0,0,"2022-05-09","05:20:30","2022-05-09 05:20:30","ucht die E","2022-05-09","symboleworter","worter","gebastelt","Internationalpolitik","Europa",1,NA,"cofoe"
"64",2,"2022-05-09T05:20:30","Publicación de Facebook",383,9,NA,2,0,0,"2022-05-09","05:20:30","2022-05-09 05:20:30","ucht die E","2022-05-09","symboleworter","worter","gebastelt","Internationalpolitik","Europa",1,NA,"325"
"65",2,"2022-05-09T05:20:30","Publicación de Facebook",383,9,NA,2,0,0,"2022-05-09","05:20:30","2022-05-09 05:20:30","ucht die E","2022-05-09","symboleworter","worter","gebastelt","Internationalpolitik","Europa",1,NA,"reformideen"
"66",2,"2022-05-09T05:20:30","Publicación de Facebook",383,9,NA,2,0,0,"2022-05-09","05:20:30","2022-05-09 05:20:30","ucht die E","2022-05-09","symboleworter","worter","gebastelt","Internationalpolitik","Europa",1,NA,"gewünscht"
"67",2,"2022-05-09T05:20:30","Publicación de Facebook",383,9,NA,2,0,0,"2022-05-09","05:20:30","2022-05-09 05:20:30","ucht die E","2022-05-09","symboleworter","worter","gebastelt","Internationalpolitik","Europa",1,NA,"mehr"
"68",2,"2022-05-09T05:20:30","Publicación de Facebook",383,9,NA,2,0,0,"2022-05-09","05:20:30","2022-05-09 05:20:30","ucht die E","2022-05-09","symboleworter","worter","gebastelt","Internationalpolitik","Europa",1,NA,"bürgernähe"
"69",2,"2022-05-09T05:20:30","Publicación de Facebook",383,9,NA,2,0,0,"2022-05-09","05:20:30","2022-05-09 05:20:30","ucht die E","2022-05-09","symboleworter","worter","gebastelt","Internationalpolitik","Europa",1,NA,"cdu"
"70",2,"2022-05-09T05:20:30","Publicación de Facebook",383,9,NA,2,0,0,"2022-05-09","05:20:30","2022-05-09 05:20:30","ucht die E","2022-05-09","symboleworter","worter","gebastelt","Internationalpolitik","Europa",1,NA,"csu"
"71",2,"2022-05-09T05:20:30","Publicación de Facebook",383,9,NA,2,0,0,"2022-05-09","05:20:30","2022-05-09 05:20:30","ucht die E","2022-05-09","symboleworter","worter","gebastelt","Internationalpolitik","Europa",1,NA,"bundestagsfraktion"
"72",2,"2022-05-09T05:20:30","Publicación de Facebook",383,9,NA,2,0,0,"2022-05-09","05:20:30","2022-05-09 05:20:30","ucht die E","2022-05-09","symboleworter","worter","gebastelt","Internationalpolitik","Europa",1,NA,"sächsische"
"73",2,"2022-05-09T05:20:30","Publicación de Facebook",383,9,NA,2,0,0,"2022-05-09","05:20:30","2022-05-09 05:20:30","ucht die E","2022-05-09","symboleworter","worter","gebastelt","Internationalpolitik","Europa",1,NA,"union"
"74",3,"2022-05-08T21:01:15","Publicación de Facebook",669,9,NA,12,1,1,"2022-05-08","21:01:15","2022-05-08 21:01:15","uropatag w","2022-05-08","worter","worter","gebastelt","Internationalpolitik","Europa",1,NA,"europatag"
"75",3,"2022-05-08T21:01:15","Publicación de Facebook",669,9,NA,12,1,1,"2022-05-08","21:01:15","2022-05-08 21:01:15","uropatag w","2022-05-08","worter","worter","gebastelt","Internationalpolitik","Europa",1,NA,"alljährlich"
"76",3,"2022-05-08T21:01:15","Publicación de Facebook",669,9,NA,12,1,1,"2022-05-08","21:01:15","2022-05-08 21:01:15","uropatag w","2022-05-08","worter","worter","gebastelt","Internationalpolitik","Europa",1,NA,"9"
