"","texto","datahora","n_control","n_reacciones"
"1","Bitte komplett lesen und durch den Kopf gehen lassen. Ich teile nicht nur, sondern teile die Ansicht auch. 💪👌
Haltung zeigen","2022-01-09T04:29:14",4,1673
"2","🙋‍♂️ An dieser Stelle will ich mich bedanken - bei meiner Frau. 💓

🍀 Sie ist bereit, mir diesen Weg in den Deutschen #Bundestag zu ermöglichen, mir den Rücken - wo notwendig - freizuhalten, damit ich für unseren #Wahlkreis160 #Verantwortung in #Berlin übernehmen kann.

Ohne deine #Unterstützung, Katrin, könnte und würde ich diesen Weg nicht gehen. Dafür gebührt dir und unseren Kindern Respekt. 🙏","2021-09-25T09:00:00",4,1031
"3","Morgen früh geht es im SAT.1 Frühstücksfernsehen um #Luis Frómeta Compte, ein Dresdner mit 🇩🇪 und 🇨🇺 Staatsbürgerschaft, der in meinen Augen unrechtmäßig in Kuba im Gefängnis sitzt.
Er hat nur einen Polizeieinsatz gegen eine Demonstration im Sommer 2021 mit dem Handy gefilmt und wurde dafür verhaftet.
Kurz vor Weihnachten kam das Unrechts-Urteil:
25 Jahre Haft. 😤

Ich unterstütze die Familie gemeinsam mit dem Integrations- und Ausländerbeirat der Stadt Dresden und Victor Vincze. Wir hoffen, dass es weitere Unterstützer geben wird.

#FreeLuis Internationale Gesellschaft für Menschenrechte","2022-01-04T12:51:03",4,657
"4","#Zeit für ein großes DANKESCHÖN 🙏 an alle die mich letztes Jahr tatkräftig unterstützt haben, in meinem Ziel den #Wahlkreis160 zu gewinnen.

Bei frisch gegrillten Bratwürsten vom Bauernhof Kühne in #Steinbach, belegten Broten vom Die Brötchen Tuner- mehr als nur Frühstück, leckeren Weinen von Weinbau Fehrmann und verschiedenen Bieren 🍻 haben wir es uns gestern Abend einfach mal richtig gutgehen lassen und den direkten Austausch miteinander genossen. 🤗

#vollerEnergie für Elbe, Röder & Dresdner Heide im #Bundestag

CDU Dresden Junge Union Dresden CDU-Ortsverband Pieschen CDU Ortsverband Dresden Loschwitz/Weisser Hirsch CDU-Ortsverband Dresden-Neustadt CDU Dresden - Ortsverband Dresdner Norden CDU-Kreisverband Bautzen CDU Ottendorf-Okrilla CDU Stadtverband Radeberg CDU Dresdner Westen","2022-04-23T09:00:35",4,654
"5","Mein erstes Interview als Bundestagsabgeordneter habe ich ZEIT ONLINE gegeben.
Doch lest selbst 👇

https://www.zeit.de/politik/deutschland/2021-10/lars-rohwer-cdu-dresden-ostdeutschland-afd

#btw21 #Bundestagswahl2021 #vollerEnergie #Wahlkreis160 #ROHWER #CDU #wegenmorgen #DasGUTEtun","2021-10-23T22:00:05",4,542
"6","Fraktionsklausur - die Zweite in dieser Legislaturperiode 2019-2024

👉 Neuverschuldungsverbot, Verfassungsänderung für mehr direkte Demokratie, Eckwertebeschluss zum nächsten Doppelhaushalt, Staatsstraßenbau, ÖPNV-Finanzierung, Änderung der Bauordnung und natürlich #Corona🦠 und #Impfen💉 
🤜 jede Menge #Themen vollgepackt in zwei Tage #Diskussion und #Entscheidung 🤛

👉 Diese CDU-Fraktion des Sächsischen Landtages handelt. 👌","2021-11-25T14:09:10",4,483
"7","😎Es waren drei wunderbare Tage im #Bootcamp der CDU/CSU-Bundestagsfraktion 👌 für die 49 neugewählten Mitglieder.
Ganz wichtige Vorbereitung 💪 auf die neue Herausforderung in Berlin ☺️ Danke 🙏","2021-10-13T14:51:54",4,429
"8","MDR AKTUELL - Meldung vom 14.09.2021 um 7:30 Uhr

„Stromausfall in Dresden vermutlich durch Ballon verursacht

Der großflächige Strom-Ausfall in Dresden ist möglicherweise durch einen metallbeschichteten Ballon verursacht worden. Wie der Netzbetreiber SachsenEnergie am späten Abend mitteilte, wurden bei der Suche nach der Störungs-Ursache im Einspeise-Umspannwerk Dresden-Süd verschmorte Reste eines Flugobjekts gefunden. Die Kriminalpolizei untersuche, ob der Ballon gezielt gesteuert wurde. Ein Polizeisprecher wollte sich am Morgen nicht zum Stand der Ermittlungen äußern. Es sei noch unklar, ob der Ballon zufällig an die neuralgische Stelle des Umspannwerks gelangte. - Von dem Strom-Ausfall waren in Dresden und Umgebung zeitweise 300.000 Haushalte sowie Unternehmen betroffen. Straßenbahnen blieben liegen, Ampeln fielen aus.“
—-
Heute Nachmittag (13.09.2021) kam es zu einem längeren Stromausfall in Dresden und Umgebung. Betroffen waren im gesamten Versorgungsgebiet ca. 300.000 Haushalte sowie zahlreiche Industriekunden. Ursache für den Blackout war eine Störung im Hoch- und Mittelspannungsnetz.
Nachdem die Stromversorgung wieder gewährleistet war (im übrigen in der Schnelligkeit eine großartige Leistung der Mitarbeiterinnen und Mitarbeiter von SachsenEnergieNetze), galt es nun die Ursachen zu analysieren und alle erforderlichen Maßnahmen zu ergreifen um einen Wiederholungsfall zu vermeiden. Wir brauchen wirklich Stromspeicher im Netz, die schnell für Versorgungssicherheit im Stromnetz garantieren und sofort für Stabilität sorgen.
Wenn sich der Verdacht bestätigt, weshalb die Polizei Sachsen ermittelt, ist es wichtig, die Verursacher zu finden.","2021-09-13T13:03:32",4,418
"9","Seit heute hat mein 🇩🇪 Berliner Büro internationales Flair! 🤗
Für die nächsten drei Monate begleitet mich eine 🇦🇷 argentinische IPS -Stipendiatin bei meiner Arbeit und unterstützt mein Team in #Berlin.
Herzlich willkommen im #Bundestag, liebe Carolina! 🇦🇷🇩🇪","2022-04-04T11:45:27",4,416
"10","✌️ Heute war ich zur konstituierenden Sitzung der CDU/CSU-Bundestagsfraktion zum ersten Mal im Plenarsaal. Fühlt sich ziemlich gut an. 🤗

Auf gehts, es gibt viel zu tun. 💪","2021-09-28T11:59:48",4,390
"11","Guten Morgen 😃 #Dresden.

Geschafft 👍 mit einem Wimpernschlagfinale 🤞 aber direkt im #Bundestag ✌️💪","2021-09-26T22:30:19",4,387
