"","X","texto","datahora","medio","Alcance","LIKES","rtas","cliks","comments","compartida","fecha","hora","POSTID","URL","TEXTO","FECHA","COMMENTS","FOTO","img_word","pro_spon","TEMA1","TEMA2","N_FOTOS","Grund","...13","datahoraposi"
"1",158,"Heute - Konstituierende Sitzung Des 20. Deutschen Bundestages - Ein Wenig Aufregung Ist Schon 😉","2021-10-26t02:39:21","Publicación De Instagram",207,58,NA,NA,2,0,"2021-10-26","02:39:21","- Konstitu","Https://Www.instagram.com/P/Cvflo12oe0u/","Heute - Konstituierende Sitzung Des 20. Deutschen Bundestages - Ein Wenig Aufregung Ist Schon 😉
27 Wo.","2021-10-26",2,"Aktivitäten","Bild","Spontan","Bundestag","Konstituierende Sitzung",3,"Aktivitäten_teilen",NA,"2021-10-26 02:39:21"
"2",50,"Seit Heute Hat Mein 🇩🇪 Berliner Büro Internationales Flair! 🤗
Für Die Nächsten Drei Monate Begleitet Mich Eine 🇦🇷 Argentinische Ips -Stipendiatin Bei Meiner Arbeit Und Unterstützt Mein Team In #Berlin.
Herzlich Willkommen Im #Bundestag, Liebe Carolina! 🇦🇷🇩🇪","2022-04-04t11:45:29","Publicación De Instagram",371,57,NA,NA,1,2,"2022-04-04","11:45:29","Eute Hat M","Https://Www.instagram.com/P/Cb8i63pknv0/","Seit Heute Hat Mein 🇩🇪 Berliner Büro Internationales Flair! 🤗
Für Die Nächsten Drei Monate Begleitet Mich Eine 🇦🇷 Argentinische Ips -Stipendiatin Bei Meiner Arbeit Und Unterstützt Mein Team In #Berlin.
Herzlich Willkommen Im #Bundestag, Liebe Carolina! 🇦🇷🇩🇪
5 Wo.","2022-04-04",0,"Aktivitäten","Bild","Spontan","Ausstausch","Ips",2,"Aktivitäten_teilen",NA,"2022-04-04 11:45:29"
"3",169,"Guten Tag 😃 #Dresden.

Geschafft 👍 Mit Einem Wimpernschlagfinale 🤞 Aber Direkt Im #Bundestag ✌️💪","2021-09-27t02:09:26","Publicación De Instagram",203,52,NA,NA,8,0,"2021-09-27","02:09:26","Tag 😃 #Dre","Https://Www.instagram.com/P/Cuucwufon0v/","Guten Tag 😃 #Dresden.

Geschafft 👍 Mit Einem Wimpernschlagfinale 🤞 Aber Direkt Im #Bundestag ✌️💪
31 Wo.","2021-09-27",3,"Larsworter","Bild","Profesional","Auswahl",NA,1,"Glückwunsch",NA,"2021-09-27 02:09:26"
"4",99,"Diese Woche Im Deutschen #Bundestag:
Am Donnerstag Durfte Ich Meine 2. Rede Im #Parlament Halten Zur Perspektive Der Lehrerausbildung In Deutschland 🇩🇪 
Hier Mein Redebeitrag Zum Nachschauen In Der Bundestagsmediathek:
Https://Dbtg.tv/Cvid/7533750

Am Freitag Habe Ich Mich Im Parlament Mit Dem Geschäftsführer Des 🕎#Zentralratderjuden, Herrn Botmann Getroffen. Zentraler Punkt Unseres Gesprächs War Das Jüdische Leben In Deutschland Und Die Integrationsleistung Der Jüdischen Religionsgemeinschaft. ✡️","2022-02-19t07:00:36","Publicación De Instagram",334,47,NA,NA,2,0,"2022-02-19","07:00:36","Woche Im D","Https://Www.instagram.com/P/Cakvv0rkiya/","Diese Woche Im Deutschen #Bundestag:
Am Donnerstag Durfte Ich Meine 2. Rede Im #Parlament Halten Zur Perspektive Der Lehrerausbildung In Deutschland 🇩🇪
Hier Mein Redebeitrag Zum Nachschauen In Der Bundestagsmediathek:
Https://Dbtg.tv/Cvid/7533750

Am Freitag Habe Ich Mich Im Parlament Mit Dem Geschäftsführer Des 🕎#Zentralratderjuden, Herrn Botmann Getroffen. Zentraler Punkt Unseres Gesprächs War Das Jüdische Leben In Deutschland Und Die Integrationsleistung Der Jüdischen Religionsgemeinschaft. ✡️
10 Wo.","2022-02-19",2,"Aktivitäten","Bild","Spontan","Bundestag","Rede",2,"Aktivitäten_teilen",NA,"2022-02-19 07:00:36"
"5",83,"111. #Weltfrauentag 2022

Blumen 🌷 Allein Machen Sicherlich Noch Keinen Unterschied. Doch Ein Tag, An Dem Wir Die Frauen Feiern, Erinnert Zugleich An Wichtige Errungenschaften Für Frauen In Der Vergangenheit Und An Alle Herausforderungen, Die Noch Vor Uns Liegen. In Meinem #Wahlkreis160 Habe Ich Heute In #Radeberg Meinen Symbolischen Blumengruß 💐 An Alle Frauen Weitergegeben, Die Mir Beim Gemeinsamen Spaziergang Mit Frau @Katjamulansky (Kandidatin Für Das #Oberbürgermeisteramt Ab 2022 Für Radeberg, #Großerkmannsdorf, #Liegau-#Augustusbad Und #Ullersdorf) In Der Stadt Begegneten.

🙏 Ein Wunderbarer Termin Bei Wunderbaren Sonnenschein ☀️ Ich Danke Meinen Begleiterinnen!","2022-03-08t07:48:18","Publicación De Instagram",310,45,NA,NA,1,0,"2022-03-08","07:48:18","Weltfrauen","Https://Www.instagram.com/P/Ca2mua4kh4g/","111. #Weltfrauentag 2022

Blumen 🌷 Allein Machen Sicherlich Noch Keinen Unterschied. Doch Ein Tag, An Dem Wir Die Frauen Feiern, Erinnert Zugleich An Wichtige Errungenschaften Für Frauen In Der Vergangenheit Und An Alle Herausforderungen, Die Noch Vor Uns Liegen. In Meinem #Wahlkreis160 Habe Ich Heute In #Radeberg Meinen Symbolischen Blumengruß 💐 An Alle Frauen Weitergegeben, Die Mir Beim Gemeinsamen Spaziergang Mit Frau @Katjamulansky (Kandidatin Für Das #Oberbürgermeisteramt Ab 2022 Für Radeberg, #Großerkmannsdorf, #Liegau-#Augustusbad Und #Ullersdorf) In Der Stadt Begegneten.

🙏 Ein Wunderbarer Termin Bei Wunderbaren Sonnenschein ☀️ Ich Danke Meinen Begleiterinnen!
Bearbeitet · 8 Wo.","2022-03-08",1,"Aktivitäten","Bild","Spontan","Menschenrecht","Frauentag",2,"Glückwunsch",NA,"2022-03-08 07:48:18"
"6",159,"Mein Erstes Interview Als Bundestagsabgeordneter Habe Ich Der @Zeit Gegeben.
Doch Lest Selbst 👇

Https://Www.zeit.de/Politik/Deutschland/2021-10/Lars-Rohwer-Cdu-Dresden-Ostdeutschland-Afd

#Btw21 #Bundestagswahl2021 #Vollerenergie #Wahlkreis160 #Rohwer #Cdu #Sachsen #Dresden #Wegenmorgen #Dasgutetun","2021-10-23t12:53:11","Publicación De Instagram",202,45,NA,NA,0,0,"2021-10-23","12:53:11","Rstes Inte","Https://Www.instagram.com/P/Cvyjggfifjt/","Mein Erstes Interview Als Bundestagsabgeordneter Habe Ich Der @Zeit Gegeben.
Doch Lest Selbst 👇

Https://Www.zeit.de/Politik/Deutschland/2021-10/Lars-Rohwer-Cdu-Dresden-Ostdeutschland-Afd

#Btw21 #Bundestagswahl2021 #Vollerenergie #Wahlkreis160 #Rohwer #Cdu #Sachsen #Dresden #Wegenmorgen #Dasgutetun","2021-10-23",0,"Spontanlars","Bild","Spontan","Interview","Medien",1,"Meinung_teilen",NA,"2021-10-23 12:53:11"
"7",166,"🗳 Heute Hat Der #Kreiswahlausschuss Von #Dresden Das Wahlergebnis Im #Wahlkreis160 Amtlich Bestätigt. ✍️

🙏 Ganz Herzlichen Dank An 35.014 Wählerinnen Und Wähler Ringsum Elbe, Röder & Dresdner Heide.

„Ich Bedanke Mich Nicht Nur Bei Der Stammwählerschaft Der Cdu, Sondern Ganz Bewusst Auch Bei Allen, Die Mir Ihre Erststimme Gegeben Haben, Um Zu Verhindern, Dass Der Wahlkreis 160 Blau Wird. Ich Fühle Mich Den Themen Dieser Wählerschaft Ebenso Verpflichtet Bei Der Neuausrichtung Der Cdu.

Das Bundestagsmandat Nehme Ich Mit Demut An Und Werde Viel Dafür Arbeiten, Den Wahlkreis Wieder Zusammenzuführen. Ich Möchte Die Mitte Der Gesellschaft Stärken Mit Einer Politik Des Wachen Geistes Und Der Offenen Augen.“

#Dasgutetun ✖️ #Wählengehen 🗳

#Btw21 #26sep #Cdu
#Vollerenergie In Den #Bundestag
#Erststimme #Rohwer
#Wegenmorgen","2021-09-30t05:56:51","Publicación De Instagram",194,45,NA,NA,1,0,"2021-09-30","05:56:51","E Hat Der ","Https://Www.instagram.com/P/Cuclklvivti/","🗳 Heute Hat Der #Kreiswahlausschuss Von #Dresden Das Wahlergebnis Im #Wahlkreis160 Amtlich Bestätigt. ✍️

🙏 Ganz Herzlichen Dank An 35.014 Wählerinnen Und Wähler Ringsum Elbe, Röder & Dresdner Heide.

„Ich Bedanke Mich Nicht Nur Bei Der Stammwählerschaft Der Cdu, Sondern Ganz Bewusst Auch Bei Allen, Die Mir Ihre Erststimme Gegeben Haben, Um Zu Verhindern, Dass Der Wahlkreis 160 Blau Wird. Ich Fühle Mich Den Themen Dieser Wählerschaft Ebenso Verpflichtet Bei Der Neuausrichtung Der Cdu.

Das Bundestagsmandat Nehme Ich Mit Demut An Und Werde Viel Dafür Arbeiten, Den Wahlkreis Wieder Zusammenzuführen. Ich Möchte Die Mitte Der Gesellschaft Stärken Mit Einer Politik Des Wachen Geistes Und Der Offenen Augen.“

#Dasgutetun ✖️ #Wählengehen 🗳

#Btw21 #26sep #Cdu
#Vollerenergie In Den #Bundestag
#Erststimme #Rohwer
#Wegenmorgen
30 Wo.","2021-09-30",1,"Larsworter","Bild","Profesional","Auswahl",NA,1,"Danke",NA,"2021-09-30 05:56:51"
"8",21,"#Zeit Für Ein Großes Dankeschön 🙏 An Alle Die Mich Letztes Jahr Tatkräftig Unterstützt Haben, In Meinem Ziel Den #Wahlkreis160 Zu Gewinnen.

Bei Frisch Gegrillten Bratwürsten Vom Bauernhof Kühne In #Steinbach, Belegten Broten Vom Die Brötchen Tuner- Mehr Als Nur Frühstück, Leckeren Weinen Von Weinbau Fehrmann Und Verschiedenen Bieren 🍻 Haben Wir Es Uns Gestern Abend Einfach Mal Richtig Gutgehen Lassen Und Den Direkten Austausch Miteinander Genossen. 🤗

#Vollerenergie Für Elbe, Röder & Dresdner Heide Im #Bundestag

Cdu Dresden Junge Union Dresden Cdu-Ortsverband Pieschen Cdu Ortsverband Dresden Loschwitz/Weisser Hirsch Cdu-Ortsverband Dresden-Neustadt Cdu-Ov Dresdner Norden Cdu-Kreisverband Bautzen Cdu Ottendorf-Okrilla Cdu Radeberg Cdu-Ov Dresdner Westen","2022-04-23t09:00:40","Publicación De Instagram",426,42,NA,NA,3,0,"2022-04-23","09:00:40","Für Ein Gr","Https://Www.instagram.com/P/Ccsxkrjo0h1/","#Zeit Für Ein Großes Dankeschön 🙏 An Alle Die Mich Letztes Jahr Tatkräftig Unterstützt Haben, In Meinem Ziel Den #Wahlkreis160 Zu Gewinnen.

Bei Frisch Gegrillten Bratwürsten Vom Bauernhof Kühne In #Steinbach, Belegten Broten Vom Die Brötchen Tuner- Mehr Als Nur Frühstück, Leckeren Weinen Von Weinbau Fehrmann Und Verschiedenen Bieren 🍻 Haben Wir Es Uns Gestern Abend Einfach Mal Richtig Gutgehen Lassen Und Den Direkten Austausch Miteinander Genossen. 🤗

#Vollerenergie Für Elbe, Röder & Dresdner Heide Im #Bundestag

Cdu Dresden Junge Union Dresden Cdu-Ortsverband Pieschen Cdu Ortsverband Dresden Loschwitz/Weisser Hirsch Cdu-Ortsverband Dresden-Neustadt Cdu-Ov Dresdner Norden Cdu-Kreisverband Bautzen Cdu Ottendorf-Okrilla Cdu Radeberg Cdu-Ov Dresdner Westen
Bearbeitet · 2 Wo.","2022-04-23",2,"Aktivitäten","Bild","Spontan","Freizeit",NA,7,"Aktivitäten_teien","Wahlkreis","2022-04-23 09:00:40"
"9",143,"Morgen Früh Geht Es Im Sat.1 Frühstücksfernsehen Um #Luis Frómeta Compte, Ein Dresdner Mit 🇩🇪 Und 🇨🇺 Staatsbürgerschaft, Der In Meinen Augen Unrechtmäßig In Kuba Im Gefängnis Sitzt.
Er Hat Nur Einen Polizeieinsatz Gegen Eine Demonstration Im Sommer 2021 Mit Dem Handy Gefilmt Und Wurde Dafür Verhaftet.
Kurz Vor Weihnachten Kam Das Unrechts-Urteil: 25 Jahre Haft. 😤

Ich Unterstütze Die Familie Gemeinsam Mit Dem Integrations- Und Ausländerbeirat Der Stadt Dresden Und Victor Vincze. Wir Hoffen, Dass Es Weitere Unterstützer Geben Wird.

#Freeluis #Igfm - Internationale Gesellschaft Für Menschenrechte","2022-01-04t12:59:38","Publicación De Instagram",333,42,NA,NA,1,0,"2022-01-04","12:59:38"," Früh Geht","Https://Www.instagram.com/P/Cyuh3lticu5/","Morgen Früh Geht Es Im Sat.1 Frühstücksfernsehen Um #Luis Frómeta Compte, Ein Dresdner Mit 🇩🇪 Und 🇨🇺 Staatsbürgerschaft, Der In Meinen Augen Unrechtmäßig In Kuba Im Gefängnis Sitzt.
Er Hat Nur Einen Polizeieinsatz Gegen Eine Demonstration Im Sommer 2021 Mit Dem Handy Gefilmt Und Wurde Dafür Verhaftet.
Kurz Vor Weihnachten Kam Das Unrechts-Urteil: 25 Jahre Haft. 😤

Ich Unterstütze Die Familie Gemeinsam Mit Dem Integrations- Und Ausländerbeirat Der Stadt Dresden Und Victor Vincze. Wir Hoffen, Dass Es Weitere Unterstützer Geben Wird.

#Freeluis #Igfm - Internationale Gesellschaft Für Menschenrechte
17 Wo.","2022-01-04",1,"Aktivitäten","Bild","Spontan","Partenschaft","Medien",1,"Aktion",NA,"2022-01-04 12:59:38"
"10",92,"Seit 04:14 Uhr Wird Angegriffen… Schlimm!
Putin Greift Mit Rückendeckung Von China 🇨🇳 Ein Freies Land An.
🇺🇦 #Freeukraine 🕊

@Zdfheute 04:14 Uhr: Putin Kündigt Offensive In Der Ukraine An","2022-02-24t01:20:33","Publicación De Instagram",419,40,NA,NA,0,14,"2022-02-24","01:20:33","4:14 Uhr W","Https://Www.instagram.com/P/Cawmzncoshb/","Seit 04:14 Uhr Wird Angegriffen… Schlimm!
Putin Greift Mit Rückendeckung Von China 🇨🇳 Ein Freies Land An.
🇺🇦 #Freeukraine 🕊

@Zdfheute 04:14 Uhr: Putin Kündigt Offensive In Der Ukraine An
10 Wo.","2022-02-24",0,"Landschaft","Bild","Spontan","Ukraine",NA,1,"Meinung_teilen",NA,"2022-02-24 01:20:33"
